stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,27,7,0,17,0,0,0,19,3,15,0,0,2,0,0,0,0,21,0,0,24,283,11,1,0,12,0,3,53,3,3,14,179,0,3,0,0
 24-34,0,0,7.39,0,0,48.43,0,0,0,9.85,0,0.82,0.82,0,1.64,0,0,0.82,0,27.09,1.64,0,15.6,177.3,0,1.64,3.28,0,0,0.82,0,0,0,1.64,75.52,0,4.93,0,1.64
 36-46,0,0,1.61,0,0,99.9,0,0,1.61,8.86,0,0.81,0,0,0,0,0,0.81,0,25.78,0,0,12.09,145.02,0.81,3.22,1.61,0,0,1.61,0,0.81,0,0,53.17,0.81,0.81,0,0
 48-58,0,0,4.02,0,0,80.33,0,1.15,0,10.33,0.57,1.72,0.57,0,0,0.57,0,0,0,23.53,0,0,2.87,46.48,1.15,1.15,0.57,0,0,2.3,0,0,0,0,22.95,0,0.57,0,0.57
 60-70,0,0,2.94,0,0,79.5,0,0,0.98,19.63,0,0.98,0,0.98,0.98,0.98,0,0,0,19.63,0,0,0,59.87,2.94,0.98,0.98,0,0,0.98,0,0,0.98,0,16.69,0,2.94,0.98,0
 72-82,0,0,3.93,0.98,0,38.28,0,1.96,0,38.28,0.98,0,0.98,0,0.98,0.98,0.98,0,0.98,32.39,0,0,1.96,54.97,0.98,5.89,0,0,0.98,1.96,0,0,0.98,0,11.78,0.98,5.89,2.94,0.98
 84-94,0,0,5.31,1.06,0,19.12,0,0,1.06,15.93,0,2.12,0,1.06,0,0,0,0,1.06,15.93,0,0,6.37,16.99,1.06,2.12,1.06,0,0,4.25,0,0,0,0,4.25,1.06,3.19,1.06,0
 96-106,0,0,0,1.09,0,17.49,0,1.09,2.19,16.39,0,1.09,0,2.19,0,2.19,1.09,0,0,19.67,0,1.09,2.19,32.79,1.09,1.09,2.19,0,1.09,1.09,0,0,0,0,4.37,0,2.19,1.09,1.09
108-118,0,0,2.3,2.3,0,16.85,0.77,3.06,0.77,17.62,2.3,0,0,0,0.77,0.77,0,0,0.77,19.92,0,2.3,3.06,43.66,0.77,5.36,0,0,0,0.77,0,0.77,0.77,0,2.3,0,4.6,0.77,2.3
120,0,0,5.88,0,1.96,15.68,0,1.96,1.96,7.84,1.96,0,1.96,0,0,0,0,0,0,9.8,0,0,11.76,25.48,5.88,5.88,1.96,0,0,3.92,0,0,0,0,3.92,0,3.92,0,0
