stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0,0,0,18.06,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,50.76,1.61,0,0,0,7.25,0
 48-58,0,0,0,0,6.89,0,0.57,0,0,0,0,0,67.71,0,0.57,0,0,12.05,0
 60-70,0,0,0.98,0,24.54,0,0.98,0,0,1.96,0,0,184.53,0,0,0,0,21.59,0.98
 72-82,0,0.98,0,0,46.14,0,0.98,0,0,1.96,0.98,0,138.41,0,0,0,0,12.76,0
 84-94,0,0,0,0,21.24,0,3.19,1.06,1.06,1.06,0,0,88.15,0,0,0,0,5.31,0
 96-106,0,0,1.09,0,24.04,0,1.09,0,0,5.46,0,1.09,86.33,0,0,0,0,4.37,0
108-118,0,0,0.77,0,13.79,0,1.53,0,0,2.3,0,0,77.36,0.77,0,0,0,3.06,0
120,0,0,0,1.96,11.76,0,1.96,0,0,0,0,1.96,54.87,0,0,0,0,5.88,0
