stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,17,0,0,0,1,28,2,3,9,0,0,0,0,0
 24-34,0,0,0,3.28,0,2.46,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,2.46,0,0,1.64,55.82,0,0.82,3.28,0,112.46,4.1,0,13.13,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,2.42,0,0.81,0,1.61,0.81,0,0,0,0,0,0.81,0,0,2.42,0.81,0,0.81,46.73,0,2.42,4.03,0,72.51,0.81,0,8.86,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,8.03,0,0,0.57,1.72,1.72,0.57,0,0,0,0,0.57,0,0,3.44,0.57,0,0,27.54,0,0.57,2.3,0,47.05,0,0,3.44,0,0,0,0,0
 60-70,0,0,0,3.93,0,9.82,0,0.98,0,5.89,1.96,0,0,0,0,0,0,0,0,13.74,0,0,0,24.54,0,1.96,0.98,0,46.13,0.98,0,3.93,0,0,0,0,0.98
 72-82,0,0.98,0.98,2.94,1.96,4.91,0,0,0.98,16.69,10.8,0,0,0,0,0.98,0,0,0,5.89,0,0,0.98,14.72,0,0.98,6.87,0,20.61,1.96,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,4.25,0,0,2.12,8.5,13.81,0,0,2.12,1.06,0,1.06,0,0,5.31,1.06,1.06,0,3.19,0,1.06,3.19,0,52.04,2.12,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,15.3,1.09,2.19,1.09,0,0,10.93,16.39,0,0,1.09,0,0,0,1.09,0,5.46,0,0,1.09,5.46,0,1.09,8.74,0,36.06,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0,22.21,1.53,3.83,0,0,0,6.13,16.09,0,0,0,0.77,0,0.77,1.53,1.53,3.83,0,0,0.77,9.19,0,1.53,3.06,0,30.64,2.3,0,0.77,1.53,0,0,0.77,0.77
120,0,0,1.96,25.48,0,3.92,0,1.96,0,5.88,21.56,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,33.32,1.96,0,0,0,0,0,0,1.96
