stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,3.28,0,0,0.82,0.82,0,0.82,0,0,0,0,0,5.75,0,3.28,0,0,0,0,0,0,0
 36-46,0,3.22,0,0,0.81,0,0.81,0.81,0.81,1.61,0,0,1.61,4.03,0,2.42,0,0,3.22,0,0,0,0
 48-58,0,1.15,0.57,0,1.72,0,0,0.57,0,6.31,0,1.15,2.3,5.16,0.57,1.72,0,0,1.15,0,0,0,0
 60-70,0,5.89,0.98,0.98,0,0,0,0,0.98,7.85,0,1.96,2.94,0.98,0,4.91,0,0,0,0,0,0,0
 72-82,0,5.89,0,0,0,0,3.93,0,1.96,19.63,0,3.93,2.94,0.98,0,3.93,0,0,0,0,3.93,0,0.98
 84-94,0,10.62,2.12,1.06,1.06,1.06,1.06,0,1.06,11.68,0,3.19,0,1.06,0,5.31,0,0,1.06,1.06,1.06,0,1.06
 96-106,0,5.46,1.09,0,0,0,2.19,0,2.19,14.21,0,0,2.19,2.19,0,5.46,0,0,0,0,0,0,4.37
108-118,0,9.96,0.77,0,3.83,0,3.06,0.77,1.53,8.43,0,3.06,1.53,2.3,0,3.06,0,2.3,0,0,0,0.77,3.83
120,0,7.84,0,0,0,0,1.96,0,0,13.72,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,0
