stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,3558.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,208.41,2427.34,0,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,12.26,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,63.09,0,55.2,0,0,84.12,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,1161.89,44.69,0,0,336.48,0,7.89,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,50.35,0,6.29,84.97,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,758.42,47.2,0,0,251.76,0,12.59,6.29,6.29,15.73,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,17,1,14,0,0,0,1,2,0,0,1,0,0,0,0,8,0,0,5,82,1,0,2,1,0,1,0,15,1,1,12,28,0,1,0,0
 24-34,0,0,0,0,4.93,0,14.78,0,0.82,0,4.93,0,0,0,1.64,0,1.64,0,0,6.57,0,0,4.93,169.1,0.82,0.82,1.64,0,0,10.67,0,0,0,0.82,2.46,32.83,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,20.95,0,0,0.81,6.45,0,0,0.81,0,0,0.81,0,0,8.86,0,0,0.81,161.13,0,0,0.81,0,0,8.06,0,0,0,0,0,46.73,0,0,0,0
 48-58,0,0,0,0,3.44,0,33.28,0,0.57,0.57,10.33,0,0,0,0,0,0,0,1.15,15.49,0.57,0,1.72,103.86,0,0,0.57,0,0.57,2.3,0,0,0,0,0,24.1,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,44.17,0,0,0,8.83,0,0,0,0,0,0,0,0,14.72,0,0,1.96,139.38,0,1.96,0.98,0,0,0.98,0,0,0,0,0,14.72,0,0,0.98,0.98
 72-82,0,0,0,0,0.98,0,43.19,0,0,0.98,19.63,2.94,0,0.98,0,0,0.98,0,0,10.8,0,0.98,1.96,81.48,0,0.98,1.96,0,0.98,2.94,0,0,0,0,0,2.94,0.98,0,0,0.98
 84-94,0,0,1.06,0,4.25,0,37.17,0,1.06,0,10.62,0,0,2.12,2.12,2.12,1.06,1.06,0,19.12,0,0,3.19,46.73,0,0,1.06,0,0,4.25,0,0,1.06,0,0,3.19,0,2.12,0,1.06
 96-106,0,0,2.19,0,3.28,1.09,21.86,1.09,0,2.19,5.46,3.28,0,4.37,0,0,0,0,0,12.02,0,0,0,45.9,0,2.19,0,0,0,5.46,0,0,0,0,0,4.37,1.09,1.09,0,1.09
108-118,0,0,0.77,0,3.83,0,21.45,0,1.53,0.77,9.96,0,0,0.77,0,1.53,0.77,0,0,9.19,0.77,0,0.77,46.72,1.53,0,1.53,0,0.77,6.89,0,0,0.77,0,0,0,0.77,2.3,0,0
120,0,0,0,0,5.88,0,15.68,0,0,1.96,9.8,1.96,0,1.96,0,0,1.96,0,0,9.8,0,0,1.96,64.67,1.96,0,0,0,0,7.84,0,0,0,0,0,1.96,0,3.92,0,1.96
