stage,axial,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,13.18,685.25,0,0,0,0,0,0,0,0,0,39.53,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,6.13,0,12.26,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,26.29,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,1.09,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
