stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,0,10.51,0,0,0,0,0,42.06,2.63,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,31.47,0,0,25.18,0,0,3.15,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,11,0,0,0,0,2,0,0,2,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,1.64,6.57,0,0,0,0,0,0,0.82,3.28,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0.77,1.53,0,1.53,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
