stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,42.06,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,2,1,2,0,0,0,2,0,0,29,0,0,0,1,0,5,5,11,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,2.46,28.73,0,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,1.61,0,5.64,0,0.81,0,3.22,0,0.81,19.34,0,0.81,0,0,0,0,0,6.45,0.81,0,0.81
 48-58,0,0,0.57,0,5.74,0,3.44,0.57,4.02,0.57,0,13.2,0,0,0,0,0,0,0,3.44,1.15,0,0
 60-70,0,0,1.96,0,9.82,0,4.91,0,0.98,0,0,11.78,0,0,0,0,0.98,0,0,3.93,0,0,0
 72-82,0,0,0,0,9.82,0,2.94,0,8.83,0,0,7.85,0,0,0,0,1.96,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,3.19,0,0,0,5.31,0,0,5.31,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,2.3,0,0,0,3.83,0,0.77,6.13,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
