stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,23.66,5.26,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,12.59,0,0,0,3.15,0,0,0,0,50.35,3.15,0,44.06,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,1,0,0,0,0,0,0,2,1,21,0,0,2,0,1,2,0,3,2,0,0
 24-34,0,0,1.64,2.46,0.82,0,9.03,0,0.82,0,0,0,0,13.95,4.1,41.04,0,1.64,0,0.82,0,0,0.82,4.1,15.6,2.46,0
 36-46,0,0,0,0.81,0,0,2.42,0,0.81,0,0,0.81,0.81,4.83,1.61,13.7,0,0,0,1.61,0,0,0,0,3.22,0,0.81
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0.57,0.57,2.3,1.15,6.89,0,0.57,0,0.57,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,2.12,1.06,0,0,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,4.37,0,0,0,2.19,1.09,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,1.53,0,0,0,0,0,1.53,0.77,3.83,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0,0,0
