stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,42.91,300.35,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,7.89,13.14,0,0,18.4,0,0,0,0,0,0,0,0,118.29,5.26,0,0,47.32,0,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,22.03,0,0,9.44,0,0,0,0,0,0,0,0,103.85,6.29,0,0,50.35,0,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,1,0,0,0,2,0,0,0,2,0,1,20,2,0,0,0,0,1,0,5,0,10,0,0,0
 24-34,0,0,0,0.82,0,1.64,0.82,0,0,0,0,1.64,0,0.82,20.52,0,0.82,0,0,0,1.64,0,0,0,5.75,0,0.82,0
 36-46,0,0,0,0,0,4.83,1.61,0,0,0,0,2.42,0,0,11.28,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,7.46,0,0,0.57,0,0,2.87,0,0.57,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.87,0.98,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,4.91,0.98,0,0,0,0.98,2.94,0.98,0,8.83,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,3.19,0,4.25,3.19,0,0,0,0,3.19,0,0,4.25,0,0,1.06,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,1.09,0,2.19,3.28,1.09,0,0,0,0,0,1.09,6.56,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0.77,3.83,0,0,4.6,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
