stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,5.75,0,0,9.85,4.1,0,1.64,2.46,0.82,0,0,0,4.93,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,4.83,0,0,4.83,0.81,0,1.61,1.61,0,0,0,0.81,0.81,0,0.81,1.61,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,9.18,0,0.57,1.15,1.72,0.57,1.15,2.87,0,0,0,0,3.44,0,0,1.15,0,1.72
 60-70,0,0,0,0,0,0,0.98,0,0,0,37.3,0,0,0,0,0,0,0,0,23.56,0,2.94,1.96,1.96,0,0.98,0,2.94,0.98,0,0,2.94,0,0,4.91,0,0.98
 72-82,0,0,0,0,2.94,0,8.83,0,0,0,126.63,0,0.98,0.98,0,1.96,2.94,1.96,0,62.83,0,3.93,3.93,6.87,0,1.96,1.96,2.94,0,0,0,7.85,0,6.87,3.93,3.93,0.98
 84-94,0,0,0,2.12,0,0,8.5,0,0,0,78.59,2.12,0,3.19,0,2.12,2.12,1.06,0,35.05,0,2.12,2.12,3.19,1.06,9.56,5.31,1.06,0,0,0,5.31,0,5.31,15.93,3.19,0
 96-106,0,0,0,14.21,8.74,0,15.3,1.09,1.09,1.09,175.95,3.28,8.74,3.28,0,4.37,0,27.32,0,136.61,0,7.65,7.65,27.32,2.19,6.56,5.46,10.93,3.28,0,0,15.3,1.09,4.37,41.53,3.28,1.09
108-118,0,0,0,52.09,0,0.77,22.98,0.77,3.06,0.77,190.72,15.32,3.83,3.83,0.77,11.49,2.3,45.19,3.06,162.38,0.77,12.26,10.72,28.34,5.36,4.6,11.49,13.02,1.53,0,0.77,13.02,2.3,6.13,49.02,4.6,1.53
120,0,1.96,1.96,86.23,3.92,1.96,31.36,1.96,7.84,0,195.98,11.76,5.88,1.96,1.96,7.84,0,43.12,0,209.7,0,7.84,29.4,52.91,9.8,3.92,17.64,15.68,11.76,0,1.96,7.84,5.88,15.68,45.08,9.8,1.96
