stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,87.83,0,0,0,0,0,0,0,1.64,0,0,4.1,0,0,0,0,0,0,0.82,0.82,0.82,0,0
 36-46,0,0,0.81,0,86.21,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0.57,0.57,0,110.17,0,0,0,0,0,0,0,0,0,0.57,5.16,0,0,0,0.57,0.57,0,0,1.72,0,0,0
 60-70,0,0,0,0,146.25,0,3.93,0,0,0,0.98,0,1.96,0,0,9.82,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,122.71,0,1.96,0,0,0,0,0,5.89,0.98,0.98,11.78,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,1.06,0,216.66,0,1.06,1.06,1.06,1.06,0,0,6.37,0,1.06,12.74,0,0,0,3.19,0,1.06,0,0,1.06,1.06,1.06
 96-106,0,0,0,3.28,202.18,0,2.19,0,0,0,1.09,1.09,4.37,0,0,10.93,0,3.28,0,4.37,0,0,0,2.19,1.09,0,0
108-118,0,4.6,1.53,0.77,190.72,0.77,3.06,0,0,0,1.53,1.53,4.6,0,0,12.26,0.77,0,0.77,3.06,0,0,0,1.53,2.3,0,0.77
120,0,0,0,0,74.47,0,1.96,0,0,0,0,1.96,3.92,0,0,1.96,0,3.92,0,3.92,0,0,0,0,0,0,0
