stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,67.43,1023.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,28.92,15.77,0,31.54,0,0,47.32,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,389.05,23.66,0,0,191.9,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,31.47,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,66.09,12.59,0,0,44.06,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,1.64,0,0,0,0,0,4.1,0,4.1,10.67,0,0.82,0,0,0,0,0,0,2.46,4.1,0,2.46,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0.81,0.81,16.11,0,0.81,0,0,0,0.81,1.61,0.81,0,4.83,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,8.03,0,0.57,0.57,1.72,0.57,0,0,0,0,0,0,0.57,23.53,0,1.72,33.85,0,1.15,0,0,1.72,0,0,0,0,5.74,0,2.87,0,0
 60-70,0,0,0,0,0,2.94,8.83,0,0,0.98,0,0,0,0,4.91,0,0,0,0,21.59,0,0.98,19.63,0,0.98,0,0,0,0.98,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,0,0,1.96,8.83,29.45,0,0,3.93,5.89,0,0,0.98,16.69,0,0.98,0,0.98,56.94,1.96,0.98,90.31,0,2.94,2.94,0,0,0.98,0,0,0,9.82,2.94,10.8,1.96,3.93
 84-94,0,0,0,0,1.06,3.19,9.56,0,0,1.06,0,1.06,0,1.06,15.93,0,0,0,1.06,13.81,2.12,3.19,16.99,0,0,0,0,0,2.12,0,0,0,0,2.12,8.5,1.06,0
 96-106,0,0,0,0,5.46,8.74,16.39,1.09,0,2.19,6.56,0,0,3.28,26.23,1.09,1.09,0,0,27.32,2.19,4.37,56.83,0,4.37,3.28,0,1.09,12.02,0,0,0,3.28,1.09,14.21,0,4.37
108-118,0,0,0,0,2.3,5.36,3.06,0,1.53,0.77,5.36,2.3,0,0.77,19.92,1.53,2.3,0,3.06,17.62,1.53,0.77,21.45,0,1.53,0,0,0,10.72,0.77,0.77,0,1.53,0.77,13.02,0,2.3
120,0,0,0,0,5.88,1.96,5.88,1.96,0,0,1.96,1.96,0,0,33.32,0,1.96,1.96,5.88,11.76,1.96,0,35.28,0,3.92,0,0,0,19.6,0,0,0,5.88,0,11.76,0,0
