stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,64,10,0,3,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,3,42,1,3,2,0,2,2,1,1,21,15,0,0,0,0,0
 24-34,0,0,3.28,0,0,4.1,0,0,0,1.64,0,1.64,0,0.82,0.82,8.21,0,0,3.28,0,0,4.93,206.86,0.82,36.12,15.6,0,0.82,0,0,0.82,0.82,34.48,0,0,5.75,0,0
 36-46,0,0,8.06,0.81,0,7.25,0,0.81,0,4.03,0,2.42,0,0,0,4.83,0,0,4.83,0,1.61,1.61,460.04,0,61.23,11.28,0,0.81,0,0.81,0,0,51.56,0,0.81,0.81,0,0
 48-58,0,0,7.46,0,0,36.15,0.57,0.57,0,5.16,0,1.15,0,1.15,1.15,6.31,0.57,0,10.33,0,3.44,1.15,507.24,0,49.92,20.08,0,1.15,0,2.3,0.57,0,45.33,0,0,0.57,0,1.15
 60-70,0,0,19.63,0,0,86.37,0,0.98,1.96,5.89,2.94,0,0,0,0,12.76,0.98,0,25.52,0,2.94,2.94,789.14,0,49.08,28.46,0.98,0.98,0,0,0.98,0,45.15,4.91,0,1.96,0,0.98
 72-82,3.93,0,22.58,0.98,0,203.2,0.98,1.96,0,21.6,10.8,0,0.98,0,0,22.58,0.98,0,46.14,0,4.91,1.96,709.74,0,84.42,53.01,0,2.94,0,0,0,0,27.49,24.54,2.94,4.91,0,0
 84-94,1.06,0,32.92,2.12,0,137,0,3.19,3.19,16.99,18.05,0,2.12,1.06,0,37.17,0,0,31.86,1.06,5.31,3.19,380.21,1.06,75.4,75.4,0,7.43,0,0,1.06,0,10.62,92.4,1.06,5.31,3.19,0
 96-106,2.19,0,50.27,1.09,1.09,116.93,1.09,5.46,1.09,18.58,18.58,0,2.19,0,0,51.36,2.19,0,29.51,1.09,3.28,14.21,323.48,0,140.98,86.33,1.09,14.21,0,0,0,0,10.93,159.56,3.28,6.56,6.56,0
108-118,2.3,0,31.4,0,0,122.55,0,3.83,0.77,13.02,10.72,0,0.77,0.77,2.3,27.57,1.53,0.77,22.98,0.77,1.53,12.26,449.62,0.77,81.19,58.98,0,10.72,0,0.77,0,0,8.43,182.3,2.3,2.3,5.36,0
120,1.96,1.96,45.08,0,0,115.63,1.96,1.96,0,11.76,11.76,0,0,0,0,41.16,1.96,0,27.44,1.96,3.92,25.48,550.7,0,68.59,62.71,0,1.96,0,1.96,0,0,11.76,64.67,7.84,1.96,1.96,1.96
