stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,79.07,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,18.4,0,0,0,5.26,0,7.89,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,1,2,1,3,0,0,0,0,3,26,0,0,0,2,0,5,1,0,1,10
 24-34,0,0,0,0,0,2.46,0,0.82,0.82,0,1.64,28.73,0,0,0,0,0.82,0.82,0,0.82,0.82,12.31
 36-46,0,0,0,0,0,4.03,0,1.61,0.81,0,0,25.78,0,0.81,0,0,0,4.03,0,0,0,4.03
 48-58,0,0,0,0,0,2.87,0.57,0,1.72,0,0,14.35,0,0,0,0,0,0.57,0,0,0,3.44
 60-70,0,0,0,0.98,0,8.83,0,0.98,0.98,0,0,11.78,0,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0.98,9.82,0,0.98,0.98,0,0,15.71,0,0,0,0,0,0.98,0,0.98,0,1.96
 84-94,0,0,0,1.06,0,1.06,1.06,2.12,1.06,1.06,0,3.19,0,0,0,0,1.06,0,0,0,0,2.12
 96-106,0,0,0,1.09,0,2.19,0,0,2.19,0,1.09,4.37,0,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,0,0,3.83,0,2.3,0.77,0,0.77,3.83,0,0,0.77,0,0,2.3,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
