stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,0,0,5.26,0,0,0,0,0,0,0,76.23,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,1,0,0,0,1,0,7,0,0,0,0,0,1,3,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,5.64,0,0,0,0,0,1.61,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,1.15,0,4.02,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,1.06,0,1.06,1.06,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,2.19,0,0,0,0,1.09,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0.77,0.77,0.77,0,0.77,0.77,0,0.77,0.77,2.3,0.77,0,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0.77,0
120,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
