stage,endoderm,epidermis,fin_epithelia,gut,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,taste
 10-12,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0
 36-46,0,0,0.81,0,0,0.81,0,1.61,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,1.72,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0.98,0,0.98,0,0,0.98,0.98,0,0,10.8,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,1.06,15.93,0,0
 96-106,0,1.09,0,1.09,0,0,0,0,0,0,27.32,0,0
108-118,0,0.77,0.77,0,0.77,0.77,0,0,0,0,15.32,0,0.77
120,0,0,0,0,0,0,0,0,0,0,11.76,0,0
