stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,12.26,263.57,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,10,3,3,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,9.85,0,0.82,0,0,1.64,8.21,0.82,0,0.82
 36-46,0,0,0,0,0.81,2.42,0,0,0,0,0.81,0.81,0.81,0,14.5,0,0,0,0,0.81,0,0.81,0,1.61
 48-58,0,0,0,0,5.74,3.44,1.15,0,0,0,0,0,0,0,5.16,0,0,0,0,1.15,0,0.57,0,0.57
 60-70,0,0,0,0,36.32,0,0,0,0,0,0,0,0,0,9.82,0,1.96,0,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,0,30.43,0,2.94,0.98,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0,0,3.93
 84-94,0,0,0,1.06,22.3,6.37,0,1.06,1.06,0,0,1.06,0,0,5.31,1.06,4.25,0,1.06,1.06,0,1.06,0,1.06
 96-106,0,0,2.19,0,28.41,1.09,1.09,0,0,0,0,0,1.09,1.09,5.46,0,4.37,0,0,1.09,0,0,0,5.46
108-118,0,0,0.77,0,25.28,0.77,0,0,0,0,0,0,2.3,0.77,4.6,0,0,0,0,0.77,0,0,0.77,2.3
120,0,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0
