stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,15.77,0,0,0,39.43,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,194.52,18.4,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,3.15,0,28.32,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,239.17,12.59,0,0,135.32,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,15,5,0,16,0,0,0,3,0,1,0,0,0,0,0,1,0,6,0,0,9,154,4,0,1,3,0,0,20,1,2,45,41,0,0,0,0
 24-34,0,0,0.82,0.82,4.1,0,0,20.52,0.82,0,2.46,3.28,0.82,0,0,0.82,0.82,0,0,0,0.82,16.42,0.82,0,10.67,157.6,0.82,0,1.64,0,0,1.64,0,1.64,0,16.42,33.66,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,0,16.92,4.83,1.61,0,15.31,0,0,0.81,0.81,0.81,0.81,0,1.61,0,13.7,0,0.81,6.45,128.1,1.61,1.61,2.42,0,0,0.81,0,2.42,2.42,1.61,40.28,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,52.22,4.59,0,2.87,26.97,0,0,0,0,1.15,0.57,0,1.15,0,17.79,0,0,6.89,106.73,0.57,0,0,0,0,0,0,2.87,1.15,0,40.17,0,3.44,0,2.3
 60-70,0,0,0,0,1.96,0,0,85.39,1.96,0.98,0.98,31.41,0.98,0,0,0,0,0,0,4.91,0,24.54,0.98,0,3.93,98.15,0.98,0,1.96,0,0,0.98,0,3.93,3.93,0,11.78,0,0.98,0,0.98
 72-82,0,0,0,0,3.93,0.98,1.96,106.02,2.94,0,3.93,49.08,0,0,0.98,0,1.96,0.98,0.98,3.93,0,44.17,0.98,0,7.85,124.67,0.98,0.98,0.98,0,0.98,0.98,0,1.96,0,0,10.8,3.93,0,0.98,0.98
 84-94,0,0,0,0,3.19,2.12,1.06,88.15,3.19,0,2.12,15.93,2.12,0,0,2.12,2.12,0,0,12.74,0,28.68,1.06,1.06,8.5,72.22,0,1.06,5.31,0,0,2.12,0,5.31,9.56,0,1.06,0,2.12,1.06,1.06
 96-106,0,0,0,0,7.65,2.19,5.46,92.89,15.3,1.09,3.28,39.34,5.46,0,0,4.37,5.46,0,2.19,52.46,3.28,40.44,0,0,15.3,90.71,1.09,2.19,2.19,0,2.19,5.46,0,8.74,17.49,0,6.56,2.19,7.65,1.09,2.19
108-118,0,0,0.77,0,22.98,1.53,11.49,81.96,32.94,2.3,1.53,35.23,3.06,0,0.77,3.06,6.13,2.3,0.77,112.6,1.53,42.13,0.77,0.77,13.79,70.47,0,3.06,6.89,0,0.77,6.89,0,9.19,31.4,0,3.83,0,2.3,2.3,3.83
120,0,0,0,0,29.4,0,7.84,62.71,19.6,1.96,0,45.08,5.88,0,0,5.88,5.88,0,0,58.79,0,43.12,0,1.96,19.6,72.51,5.88,0,3.92,0,0,5.88,0,9.8,9.8,0,0,0,0,1.96,1.96
