stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,7.89,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,3.15,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,12,1,1,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,1.64,0.82,0,0,0.82,0,0,7.39,1.64,0,0,3.28,0,13.95,1.64,4.93,0.82,0,18.06,0,10.67,1.64,0,0.82,0.82
 36-46,0,0,0,1.61,1.61,0,0,0,0,0,1.61,0,0,4.03,1.61,0.81,0.81,2.42,0,25.78,1.61,1.61,0,0,20.14,0,5.64,0.81,0,0,1.61
 48-58,0,0,0,0,1.15,0,0.57,0,0.57,1.72,1.15,0.57,0,1.72,0.57,0.57,0,5.74,0,14.92,2.3,2.3,0.57,0,9.18,0,4.59,0,0,0.57,0.57
 60-70,0,0,0.98,0,3.93,0,1.96,0.98,0,4.91,9.82,0.98,2.94,1.96,2.94,0.98,0.98,1.96,0,8.83,2.94,3.93,1.96,0,14.72,0,2.94,0,0,0,0.98
 72-82,0,0,3.93,0,1.96,1.96,3.93,0,0,9.82,19.63,2.94,1.96,0.98,0.98,3.93,6.87,12.76,1.96,12.76,0.98,2.94,2.94,0,10.8,0,10.8,0.98,4.91,0.98,1.96
 84-94,0,0,5.31,0,8.5,0,3.19,0,0,2.12,44.61,2.12,2.12,4.25,0,1.06,0,10.62,0,8.5,0,0,3.19,0,52.04,0,13.81,0,4.25,0,1.06
 96-106,0,0,7.65,0,16.39,1.09,12.02,1.09,0,9.84,39.34,0,4.37,8.74,0,5.46,3.28,10.93,0,3.28,3.28,2.19,1.09,0,57.92,0,8.74,1.09,3.28,0,1.09
108-118,0,0,0.77,0,12.26,0.77,4.6,0.77,0,6.89,43.66,0,3.83,4.6,1.53,3.06,1.53,4.6,0,5.36,2.3,0.77,0.77,0,20.68,0,4.6,0,3.06,0.77,0.77
120,0,0,1.96,0,15.68,0,0,5.88,0,1.96,25.48,0,0,1.96,3.92,3.92,1.96,3.92,0,9.8,0,0,3.92,0,43.12,0,7.84,0,3.92,0,0
