stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,6,0,0
 24-34,0.82,0.82,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0.82,18.88,0,1.64,0,3.28,0,1.64,4.93,0,1.64
 36-46,0,2.42,4.03,0,0,0,1.61,0,0,0,0,0.81,4.03,0,0.81,1.61,41.89,0,0,0,4.83,0,0,1.61,0,0
 48-58,0,0,7.46,0,0.57,0.57,1.15,0,0,0,0,0.57,4.02,0,1.15,1.72,22.95,0.57,0.57,0.57,0.57,0,0,5.74,0,0.57
 60-70,0,0,8.83,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0,5.89,0,0,0,4.91,0,0,0,0,0.98
 72-82,0,2.94,2.94,0,1.96,0.98,5.89,0,0,0,0,0,6.87,0.98,0.98,0,4.91,0,0,0,0.98,0,0,1.96,0.98,0
 84-94,0,4.25,6.37,0,0,1.06,0,0,0,0,0,0,7.43,1.06,1.06,0,6.37,0,0,0,4.25,0,0,0,0,1.06
 96-106,0,2.19,2.19,1.09,0,0,0,0,0,0,1.09,0,3.28,0,1.09,0,1.09,0,0,0,4.37,0,0,0,0,2.19
108-118,0,3.06,2.3,0,1.53,0.77,2.3,0,0,0.77,0.77,0.77,2.3,0,0.77,1.53,4.6,0,0,0,3.83,0,0,0,0,1.53
120,0,9.8,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,1.96,3.92,0,1.96,0,1.96,0,0,0,0,0
