stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0
  5-6,73.56,882.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,269.7,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,26.29,0,0,0,31.54,0,0,0,44.69,0,0,0,0,0,0,0,0,0,362.76,5.26,0,0,165.61,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,12.59,0,0,0,25.18,0,0,0,15.73,0,0,0,0,0,0,0,0,0,210.85,6.29,0,0,125.88,0,12.59,0,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,8,3,0,0,0,0,27,2,0,1,6,2,0,0,0,0
 24-34,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0.82,13.13,0,0,0,0,0,34.48,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,12.09,0,0,2.42,0,0,0,0,0.81,0,0,0,0,0,1.61,4.03,0,6.45,0,0,0,0,0,110.38,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,26.97,0,0,2.3,2.87,1.15,0.57,0,0,0.57,0,0,0,0.57,5.74,2.3,0,18.36,0,0,0,0,0.57,272.56,0,0,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,21.59,0,0,8.83,3.93,2.94,0,0,0,2.94,0,0,0,0,6.87,2.94,0,10.8,0,0.98,0,0,0,363.16,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,24.54,1.96,0,7.85,5.89,0,0,0,0,2.94,0.98,0,2.94,0,8.83,5.89,0,12.76,0.98,0,0.98,0,0.98,396.59,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,50.98,0,1.06,3.19,26.55,1.06,1.06,0,0,20.18,0,0,1.06,0,5.31,18.05,2.12,12.74,0,0,0,0,0,1427.38,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,17.49,2.19,0,8.74,13.11,2.19,1.09,0,0,5.46,0,1.09,1.09,0,5.46,10.93,0,8.74,0,0,0,0,0,737.67,0,0,0,0,2.19,1.09,1.09,1.09,0
108-118,0,0,0,13.79,0.77,0,1.53,13.79,2.3,0,0,0,6.13,0,0,13.02,0,2.3,15.32,0,11.49,0,0.77,0,0,0,454.98,0,0,0,0,0,0,0,0,0
120,0,0,0,9.8,1.96,0,1.96,19.6,0,0,0,0,3.92,0,0,1.96,0,0,11.76,0,9.8,0,0,0,0,0,435.07,0,0,0,0,0,0,0,0,0
