stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,11,0,0,0,0,0
 24-34,0,0,0,16.42,0,0,0.82,0,0,0,1.64,0,0,0,0,2.46,0,2.46,22.16,0.82,0,0,0,0.82,0,0.82,0,15.6,0,0,0.82,0,0
 36-46,0,0.81,0,15.31,2.42,1.61,1.61,0,1.61,0,0,0,0,0,0.81,10.47,0,0.81,54.79,0,0.81,0,0,0.81,0,0,1.61,21.75,0,0,0.81,0,0.81
 48-58,0,0,0.57,30.99,0,1.72,8.61,0,0.57,0,0,0.57,0,0,0.57,15.49,1.15,2.3,75.74,2.3,0.57,0.57,0,1.15,0,0,3.44,31.56,0,0,1.15,0,0
 60-70,0,0.98,0,40.24,5.89,1.96,9.82,0,1.96,0,0,0.98,0,0,0,19.63,1.96,2.94,154.1,0.98,0,0,0,1.96,0,0,1.96,27.48,0,1.96,0.98,0,0
 72-82,0,0.98,8.83,70.68,0.98,0,22.58,0,0.98,0,0.98,0.98,0,0,0,35.34,2.94,2.94,158.05,0.98,0,0,0,0,0,0,0,23.56,0.98,2.94,3.93,1.96,0.98
 84-94,0,2.12,3.19,70.09,1.06,2.12,11.68,0,0,0,0,3.19,1.06,0,0,14.87,1.06,3.19,95.58,0,1.06,1.06,0,4.25,0,0,1.06,20.18,0,0,2.12,1.06,0
 96-106,0,0,2.19,56.83,1.09,1.09,13.11,0,0,1.09,1.09,0,0,0,0,16.39,0,3.28,84.15,0,1.09,3.28,0,3.28,0,0,4.37,9.84,1.09,0,2.19,4.37,0
108-118,0,0.77,5.36,39.83,4.6,0.77,13.79,0,0.77,0,0,0.77,0,0.77,0,12.26,0.77,0,82.72,0.77,0,4.6,0,0.77,0,0,5.36,4.6,1.53,0,3.06,1.53,0.77
120,0,3.92,7.84,31.36,7.84,3.92,15.68,0,0,0,1.96,0,1.96,1.96,0,21.56,0,1.96,86.23,0,0,5.88,0,1.96,1.96,0,0,7.84,0,0,1.96,0,0
