stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,29.55,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0
 36-46,0,0,1.61,0,0,2.42,0,0,0,0.81,0,0,49.95,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0.81,0,0,6.45,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,1.15,0.57,0,84.35,0,0.57,0,0,0,9.18,0,0,0,0,0,0,0,2.87,0,0.57,15.49,0,0.57
 60-70,0,0,1.96,0.98,0,4.91,0,0,0,0,0,0,122.69,0,0,0,3.93,0,7.85,0,0,0,0,0.98,0,0,0.98,0,0,28.46,0,0
 72-82,0,0,0.98,2.94,0.98,12.76,0,0,0.98,2.94,0,0.98,231.67,0,0,0,9.82,0.98,23.56,0,0,0,0,1.96,0,0,2.94,0,0,56.94,0,0.98
 84-94,0,0,3.19,3.19,0,23.36,1.06,0,0,3.19,2.12,0,294.18,1.06,0,0,8.5,1.06,14.87,1.06,0,2.12,0,3.19,0,0,0,0,0,54.16,0,0
 96-106,0,0,5.46,5.46,1.09,15.3,1.09,1.09,0,2.19,1.09,0,342.06,2.19,1.09,1.09,14.21,1.09,29.51,0,2.19,2.19,0,12.02,0,0,0,0,2.19,93.98,2.19,0
108-118,0,0,3.83,4.6,0,5.36,0.77,1.53,0.77,3.06,0.77,0,280.34,0,0,0,9.19,3.06,28.34,0,0.77,0,0,3.83,0,0.77,2.3,0.77,0,72.77,0.77,0
120,0,1.96,5.88,11.76,0,5.88,0,0,0,1.96,0,0,403.72,0,0,0,13.72,0,17.64,3.92,0,0,0,0,0,0,0,0,0,88.19,0,0
