stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,18.39,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,4,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,48,1,0,2,0,0,2,0,2,0,5,29,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,6.57,0,0,0,0.82,0,0,0,1.64,0,0,0,0,13.95,0.82,0,3.28,128.87,0.82,0.82,2.46,0,0,1.64,0,3.28,0,0.82,20.52,0,13.13,0,0
 36-46,0,0,0,0,0,0,10.47,0,0,0,7.25,0,0,0,0.81,0,0,0.81,0,12.89,0,0,5.64,126.49,0.81,0.81,0.81,0,0,0,0,4.83,0,0.81,22.56,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,26.97,0,0,0,18.94,0,1.15,0,0.57,0.57,0.57,0.57,0.57,12.62,0,1.15,1.72,250.75,0,1.15,2.87,0,0,2.3,0,1.15,1.72,0,27.54,0,1.72,0,0
 60-70,0,0,0.98,0,1.96,0.98,81.47,0.98,0,0.98,35.33,0,0.98,0,0.98,0.98,0.98,0,0,28.46,0,0,0.98,327.83,0.98,0.98,0,0,0,0,0,1.96,0,0,30.43,0,3.93,0.98,0
 72-82,0,0,0,0,0.98,2.94,75.59,0,0,0,98.17,0,0,0.98,0.98,0,0.98,0,0,34.36,0.98,0.98,5.89,230.69,0,1.96,0.98,0,0,9.82,0,2.94,0,0,13.74,0.98,1.96,0.98,0
 84-94,0,0,1.06,0,1.06,3.19,37.17,0,1.06,3.19,81.78,1.06,2.12,1.06,4.25,0,2.12,1.06,0,26.55,0,3.19,3.19,118.95,2.12,0,3.19,0,0,12.74,0,1.06,0,0,13.81,2.12,2.12,2.12,0
 96-106,0,0,5.46,0,3.28,7.65,44.81,1.09,1.09,1.09,119.12,0,1.09,0,3.28,0,2.19,1.09,0,15.3,1.09,1.09,2.19,74.31,0,2.19,2.19,0,1.09,16.39,0,2.19,0,0,3.28,1.09,2.19,2.19,1.09
108-118,0,0,0,0,3.06,1.53,20.68,1.53,0.77,0,106.47,1.53,0,0.77,4.6,0,0,0,1.53,17.62,0,0.77,2.3,104.17,0,1.53,3.83,0,0.77,13.02,0,2.3,0.77,0,3.06,0,0.77,2.3,0
120,0,0,0,0,5.88,1.96,37.24,1.96,0,1.96,101.91,0,0,0,1.96,0,0,1.96,0,9.8,0,0,5.88,92.11,0,1.96,1.96,0,0,17.64,0,1.96,0,0,9.8,0,0,0,0
