stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,5,0,2,26,1,0,1,0,0,2,0,1,2,0,0,0
 24-34,0,0,1.64,0.82,32.01,0,0,0,0,0,0,0.82,0,0,0,0.82,7.39,0,5.75,61.56,0,0,0,0,0,0,0,0.82,8.21,0,1.64,0
 36-46,0,0,2.42,0,62.84,0,0.81,0,0.81,0,0,0,0,0,0,0,3.22,0,0.81,24.17,0,0,0,0,0,0,0,0.81,1.61,0,0,0
 48-58,0,0,0,0.57,356.33,0,0,0,1.72,0.57,0,0,0.57,0,0,0,8.03,1.15,1.15,18.94,0,0,0.57,0,0.57,0,0,0,4.02,0,1.72,0
 60-70,0,0,2.94,0,1155.25,0,0.98,0.98,2.94,0,0,0.98,0,0,0,0.98,5.89,0,2.94,23.56,0,0.98,0,0,0.98,0,0,0,4.91,0.98,0,0.98
 72-82,0,0,11.78,2.94,1332.12,0.98,0,1.96,10.8,0.98,0,0,0,0.98,0,0.98,22.58,0,1.96,36.32,0,0.98,0.98,0,0.98,0,0,0,1.96,0,2.94,0
 84-94,1.06,1.06,12.74,1.06,1440.12,0,2.12,3.19,8.5,0,0,0,1.06,0,0,0,25.49,3.19,5.31,21.24,2.12,0,0,0,2.12,0,0,0,1.06,1.06,3.19,2.12
 96-106,0,1.09,9.84,2.19,931.11,1.09,0,0,7.65,1.09,2.19,0,0,1.09,0,0,21.86,0,0,28.41,0,1.09,1.09,0,0,0,1.09,0,0,0,2.19,0
108-118,0,0,3.83,3.06,649.54,2.3,0.77,1.53,5.36,0.77,1.53,0,0,1.53,2.3,0.77,12.26,0,1.53,31.4,1.53,0.77,0.77,1.53,3.06,0,0,0,0,0.77,3.83,0
120,0,0,7.84,5.88,597.73,0,0,0,1.96,0,1.96,0,0,0,0,0,11.76,0,5.88,35.28,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0
