stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,glial,lateral_line,mesenchyme,neural,periderm,pronephros,spinal_cord
 14-21,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,2.46,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0.81
 48-58,0,0,0,3.44,0.57,0,0,0,2.3,0.57,0.57,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,3.93,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,1.96,1.96,0.98,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,2.12,1.06,0,0
 96-106,0,2.19,0,1.09,0,0,0,1.09,1.09,0,0,0
108-118,0.77,0.77,0.77,0,0,0.77,0,0,1.53,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0
