stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,53.5,0,0,3.15,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,19,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,4,34,1,0,0,3,0,0,0,80,0,6,50,18,0,0,0,0,0
 24-34,0,0,0,2.46,9.85,0,0,13.13,0,3.28,0.82,0.82,0,0,0,0.82,8.21,0,0.82,0,5.75,0,0,3.28,81.26,0,0.82,0,0,0,4.1,0,0,0,3.28,1.64,25.45,0,0,4.1,0,0
 36-46,0,0,0,0.81,12.09,0,0,111.99,0.81,5.64,0,6.45,0,0,2.42,3.22,1.61,0,0.81,0,10.47,0,0,7.25,161.94,0,0.81,0,0,0,1.61,0,0,2.42,0,0,49.15,0,0,4.03,0,0
 48-58,0,0,0,0,5.74,0.57,0,205.42,0.57,4.59,0.57,6.89,0,0,2.87,2.3,0.57,0,0,0,14.92,0,0,11.48,131.98,0,1.72,0.57,0,0.57,0,0,0,1.72,0.57,0,34.43,0,0.57,6.89,0,0
 60-70,0,0,0,0,17.67,1.96,0,353.35,0,10.8,0,15.7,0,0,0,6.87,0,0.98,0,0.98,39.26,0,0.98,3.93,187.47,0,0.98,0,0,3.93,1.96,0,0,0.98,0.98,0,22.58,0,6.87,5.89,0,0
 72-82,0,0,0,0,20.61,6.87,0,285.66,0,10.8,1.96,18.65,4.91,0,4.91,15.71,0,0.98,0,0,55.95,0.98,8.83,13.74,136.45,0,4.91,1.96,0,6.87,0.98,0,0,0.98,0.98,0,14.72,4.91,9.82,10.8,4.91,0
 84-94,0,0,1.06,0,50.98,5.31,0,234.71,2.12,15.93,0,12.74,7.43,1.06,1.06,36.11,6.37,2.12,0,0,33.99,0,7.43,5.31,91.34,0,2.12,2.12,0,4.25,3.19,0,0,0,0,0,8.5,3.19,7.43,9.56,2.12,1.06
 96-106,0,0,0,0,45.9,14.21,0,261.19,1.09,12.02,0,22.95,8.74,0,5.46,34.97,0,2.19,1.09,1.09,64.48,1.09,5.46,3.28,81.96,0,0,2.19,0,16.39,3.28,0,0,0,0,0,3.28,10.93,19.67,13.11,3.28,0
108-118,0,0,0,0,62.04,3.83,1.53,196.09,1.53,40.6,0.77,11.49,8.43,0,3.06,40.6,4.6,3.06,0,0.77,40.6,0,6.89,4.6,91.92,0.77,2.3,0,0,17.62,0.77,0,0,0.77,0,0,4.6,10.72,22.21,5.36,0.77,0
120,0,0,0,0,92.11,1.96,1.96,158.74,0,39.2,0,17.64,7.84,0,1.96,33.32,1.96,5.88,0,0,29.4,1.96,0,5.88,117.59,0,3.92,1.96,0,19.6,0,0,0,3.92,0,0,3.92,9.8,11.76,15.68,0,0
