stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,7,1,0
 24-34,0,0,0,0,0,6.57,0.82,0,0.82,0,0,12.31,14.78,0,0,0.82,0,9.85,9.85,5.75,0
 36-46,0,0,0,0,0.81,14.5,0.81,0,0,1.61,0,2.42,8.06,0,0,0,0,7.25,0.81,3.22,0
 48-58,0,0,0,0,1.72,11.48,0,0,0,1.15,0,2.3,8.03,0,0,0.57,0,4.02,0,1.15,0.57
 60-70,0,0,0,0,0,12.76,0,0,0,0,0,5.89,4.91,0.98,0,0,0,4.91,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0,1.96,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,5.31,0,0,0,0,0,3.19,1.06,0,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,1.09,0,5.46,1.09,0,0,1.09,0,1.09,7.65,0,0,0,0,3.28,0,0,0
108-118,0,0,0,0,0,2.3,0,0.77,0,0,0.77,3.06,0,0,0,0,0,3.83,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
