stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,25.18,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,2,3,0,42,1,0,0,0,0,0,4,0,2,31,0,3,16,6,0,3,20,1,5,115,0,1,0,0
 24-34,0,0,1.64,1.64,3.28,0,3.28,0.82,43.51,0,0,0,0,0.82,0,9.85,0,1.64,57.46,1.64,15.6,3.28,0,0,0,12.31,0,2.46,105.07,0,0.82,0,0
 36-46,0,0,0,0,0,0,5.64,0.81,31.42,0,0,0.81,0,0,0,1.61,0.81,0.81,62.04,0,26.59,0.81,0,0,0,8.86,0,0,70.09,0,0,0,0
 48-58,0,0,0,0,0,0,6.89,0,31.56,0,0,0.57,0,1.15,0,1.15,1.15,0,29.84,0,10.33,1.72,0,0,0,1.72,0,0,52.79,0,0,0,0
 60-70,0,0,0,0,1.96,0,14.72,0,27.48,0.98,0,0,0,3.93,0,0.98,1.96,0,18.65,0,15.7,4.91,0,0,0,3.93,0,0,27.48,0,0,0,0
 72-82,0,0,0,0,0,0.98,30.43,0,48.1,0,0,0,0,1.96,0.98,4.91,0.98,0,36.32,0,28.47,5.89,0,0,0,1.96,0,0,18.65,0.98,0,0,0
 84-94,0,0,0,0,1.06,1.06,30.8,0,23.36,2.12,0,0,1.06,5.31,0,1.06,5.31,0,9.56,0,35.05,12.74,0,0,0,1.06,0,0,18.05,0,0,0,0
 96-106,0,0,0,1.09,2.19,1.09,18.58,1.09,30.6,1.09,0,0,1.09,7.65,0,1.09,6.56,0,9.84,0,46.99,13.11,0,1.09,0,1.09,0,0,17.49,0,0,0,1.09
108-118,0,0,0,1.53,2.3,0,13.79,0,28.34,1.53,0,0.77,0.77,4.6,0,1.53,1.53,1.53,18.38,0.77,31.4,9.19,0,0,0,4.6,0,0,10.72,0,0,0,0
120,0,0,0,0,0,0,11.76,0,7.84,0,0,0,0,7.84,0,1.96,3.92,1.96,17.64,0,27.44,5.88,0,0,0,1.96,0,0,7.84,0,0,1.96,0
