stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,1.64,0.82,0,0,0,0,0,0,0,0,15.6,0,0,35.3,5.75,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0.81,6.45,1.61,0,0,0,0,0,0,0,77.34,0,0.81,37.87,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,6.89,0,0.57,2.3,1.15,0,0,0,0,2.3,0,0.57,220.34,0,0.57,20.08,8.61,0,0,0.57,0,0,0,0,0,0,1.72,0,0.57,0,0,0.57
 60-70,0,0,0.98,0,5.89,0,0,4.91,0,0,0,0,0,0,0.98,0,525.11,0,0.98,11.78,7.85,0,0,0.98,0,3.93,0,0,0,0,2.94,0,1.96,0,0,0
 72-82,0.98,0.98,3.93,0,37.3,0.98,0,4.91,1.96,0.98,0,0,0,0.98,0,0,824.6,0.98,1.96,21.6,27.49,0,0,3.93,0,3.93,3.93,0,0,0,3.93,0,6.87,1.96,0,0.98
 84-94,0,0,4.25,0,67.97,1.06,1.06,2.12,4.25,0,0,0,0,1.06,0,0,560.76,0,1.06,9.56,12.74,1.06,0,0,0,0,4.25,0,1.06,0,1.06,0,2.12,3.19,1.06,0
 96-106,0,0,6.56,2.19,60.11,0,0,5.46,4.37,3.28,0,0,1.09,3.28,1.09,0,695.05,0,6.56,5.46,49.18,0,0,1.09,0,7.65,1.09,1.09,0,0,0,0,3.28,1.09,4.37,0
108-118,0,3.06,4.6,0.77,20.68,0.77,0.77,5.36,3.06,0.77,0.77,2.3,0,0,0,0,618.9,0,2.3,9.19,29.11,0.77,0.77,0,0,6.13,1.53,0,0,0,0.77,0.77,3.83,0.77,0,0
120,0,1.96,7.84,0,13.72,0,1.96,1.96,0,1.96,0,0,0,1.96,3.92,0,495.83,0,3.92,9.8,25.48,0,0,0,0,1.96,1.96,1.96,0,0,0,0,7.84,0,0,0
