stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,0,0,3.28,1.64,0,0,0,42.68,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0.81,1.61,0,0.81,9.67,0.81,0,0,0,215.11,0,0,0,0,0,0,0
 48-58,0,0,2.87,0.57,0,21.8,0,14.92,0,4.02,0,1.15,0,1.72,0,0,0,0.57,18.36,11.48,0.57,3.44,54.51,0.57,1.15,0.57,0,980.63,0.57,14.35,0,0,1.72,0,0.57
 60-70,0,0,3.93,0,0,32.39,0,7.85,0,6.87,0,0,0,4.91,0,0,0,0,10.8,6.87,0,0,62.82,0,0,0,0,1100.29,0,3.93,0,0,0,0,2.94
 72-82,0,0,17.67,1.96,0,9.82,0,21.6,0,4.91,0,0.98,0,7.85,0.98,0,0,0,9.82,7.85,0,0.98,18.65,0,0,0,0,828.52,0,1.96,0,0.98,0,0,0
 84-94,0,0,64.78,1.06,0,12.74,1.06,49.92,0,2.12,1.06,2.12,0,55.23,0,1.06,0,1.06,5.31,15.93,0,0,21.24,1.06,0,1.06,0,2479.86,0,0,0,0,1.06,0,0
 96-106,0,0,97.26,2.19,2.19,24.04,0,46.99,0,7.65,1.09,0,2.19,67.76,1.09,0,2.19,0,9.84,26.23,0,1.09,44.81,2.19,2.19,1.09,0,2255.64,0,2.19,0,0,2.19,1.09,0
108-118,0,0,98.04,1.53,0,9.19,0.77,89.62,0.77,1.53,0.77,0.77,0.77,91.15,0,0.77,0.77,0,9.19,31.4,0,1.53,24.51,0.77,0,0.77,0,2130.91,0,0,0.77,0,1.53,0.77,0
120,0,0,25.48,0,0,5.88,0,27.44,0,0,0,1.96,0,15.68,0,0,0,0,5.88,7.84,0,1.96,9.8,0,0,0,0,680.05,0,0,0,0,0,0,1.96
