stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,3,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,0.82,0.82,3.28,0,0.82,27.09,0.82,0,0,0.82,0.82,4.93,0,0
 36-46,0,0,0,5.64,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,66.06,0,0.81,0,0,0,9.67,0,0
 48-58,0,0,0,22.38,0,0,0,2.87,0,0,0,0,0,1.15,4.02,0,0,64.84,0.57,0.57,0,0,0.57,11.48,0.57,0.57
 60-70,0,0,0,60.85,0,0,0.98,4.91,0,0,0,3.93,0,0,2.94,0,0,152.14,0,0,0,0,0,12.76,0,1.96
 72-82,0,0,0.98,52.03,0,0,0,4.91,0,0,1.96,0,0.98,0.98,5.89,0,0,113.87,2.94,0,0,0,0.98,4.91,0.98,0
 84-94,0,0,1.06,30.8,1.06,0,0,1.06,0,0,1.06,5.31,0,1.06,1.06,0,0,59.47,0,0,0,2.12,0,11.68,0,0
 96-106,0,2.19,0,37.16,0,0,0,1.09,0,0,1.09,3.28,1.09,0,2.19,0,0,59.01,0,0,0,1.09,0,3.28,0,0
108-118,0,0.77,0,25.28,0,0,0,6.89,0,0,2.3,1.53,0,0.77,1.53,0.77,0,60.51,2.3,2.3,0,0,0.77,1.53,0,0
120,0,0,0,17.64,0,1.96,0,0,0,1.96,3.92,0,0,0,1.96,0,0,90.15,0,0,0,0,0,5.88,1.96,0
