stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,5,0,0,0,3,0,1,1,0,3,0,0,0,0,1,0,0,1,240,1,5,0,1,0,8,0,1,1,1,113,0,0,0,0,0
 24-34,0,0,0.82,0,8.21,0,0,27.09,0,0.82,0,3.28,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0.82,976,0.82,9.03,3.28,0,0,27.91,0,3.28,0,1.64,231.48,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,107.96,0,0,0,16.92,0.81,0,0.81,0,0.81,0,0.81,0.81,0,8.06,0.81,0,2.42,2233.32,0.81,13.7,3.22,0,0,22.56,0,1.61,0,0,440.7,0,0,0.81,0,0
 48-58,0,0,0,0,7.46,0,0,327.64,0.57,0,1.15,35,1.15,0.57,0.57,1.15,1.15,1.15,1.15,1.15,0.57,18.94,0.57,1.15,4.02,2138,1.15,11.48,2.87,0,0.57,24.67,0,0.57,0,0,469.95,0,0,1.72,0,1.72
 60-70,0,0,0,0,4.91,0,0,583.02,1.96,0.98,0,42.21,0.98,0,0,1.96,0,0.98,1.96,0,0.98,13.74,4.91,0,3.93,1589.08,0,8.83,5.89,0,0,20.61,0,1.96,0,0,303.29,0,0,0.98,0,1.96
 72-82,0,0,0.98,0,15.71,1.96,0,652.81,0,0,1.96,49.08,3.93,0,1.96,0,2.94,0.98,4.91,0,0.98,20.61,4.91,0.98,5.89,964.97,0,16.69,6.87,0,0,29.45,0,2.94,0,0,103.07,0.98,0,9.82,0,0.98
 84-94,0,0,3.19,0,11.68,1.06,0,438.62,0,1.06,1.06,45.67,6.37,2.12,0,4.25,3.19,1.06,5.31,1.06,2.12,25.49,2.12,2.12,4.25,520.4,0,4.25,19.12,0,0,74.34,0,2.12,0,0,66.91,2.12,2.12,4.25,0,1.06
 96-106,0,0,0,1.09,20.76,4.37,2.19,362.83,1.09,0,0,41.53,12.02,0,1.09,3.28,6.56,6.56,13.11,2.19,0,18.58,2.19,1.09,1.09,363.92,0,8.74,27.32,0,0,73.22,0,1.09,1.09,0,22.95,2.19,0,2.19,1.09,0
108-118,0,0,0.77,1.53,20.68,4.6,8.43,282.64,0.77,2.3,0,37.53,13.79,0,1.53,3.83,4.6,2.3,6.13,5.36,3.06,20.68,2.3,3.06,1.53,422.81,0,9.96,19.92,0,0.77,39.83,0,2.3,0.77,0,9.96,4.6,0,3.06,0.77,0
120,0,0,0,1.96,19.6,1.96,0,303.77,0,5.88,1.96,43.12,11.76,0,0,3.92,7.84,1.96,7.84,3.92,0,37.24,1.96,1.96,9.8,450.75,0,11.76,13.72,0,0,43.12,0,1.96,0,0,33.32,5.88,0,5.88,0,0
