stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,8,0,0,0,1,8,3,0,0,1,0,9,0,7,13,17,0,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,0,1.64,0.82,0,0,0,0,18.06,0,0.82,1.64,4.93,14.78,0,0.82,1.64,0,0,0,1.64,2.46,7.39,9.85,5.75,0
 36-46,0,0,0,0,0,0,2.42,1.61,0,0,0,0,0,0.81,0,5.64,0,1.61,2.42,1.61,31.42,0,0,0,0,0,0,0.81,1.61,0,3.22,1.61,0
 48-58,0,0,0,0,0,0,5.16,1.72,0,0,1.15,0,0,0,0,1.15,0.57,3.44,1.72,0.57,21.23,0,0,0.57,0,0,0,0,1.72,0,3.44,2.3,0.57
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0.98,0,0,0,0,1.96,0,2.94,1.96,0.98,16.69,0,0,1.96,0,0.98,0,0.98,0,0,3.93,1.96,0.98
 72-82,0,0,0,0,0,0,2.94,2.94,1.96,0,0,0,0,0,0,3.93,0,0.98,1.96,0.98,4.91,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,2.12,0,0,1.06,1.06,1.06,1.06,1.06,0,1.06,0,3.19,6.37,5.31,1.06,2.12,0,8.5,0,0,2.12,0,2.12,0,0,1.06,0,0,5.31,0
 96-106,0,0,0,0,0,0,3.28,1.09,0,0,0,1.09,0,0,4.37,15.3,1.09,2.19,0,0,5.46,0,0,2.19,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0.77,0,0.77,0,0.77,0.77,5.36,2.3,0,2.3,0.77,6.13,0,0,0.77,0,0.77,0,0,1.53,0,0,1.53,0
120,0,0,0,0,1.96,0,0,3.92,3.92,0,1.96,0,0,0,0,7.84,1.96,1.96,0,5.88,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0
