stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.87,10.51,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,2,1,4,0,0,5,0,0,0,2,0,0
 24-34,0,0,0,0,5.75,0,1.64,0,0.82,0.82,0,0.82,0,0,0,0,0,3.28,0,0,1.64,12.31,0,0,0,0,0.82,0,0,0,0,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,2.42,0,2.42,0,0,0,0.81,0,0.81,0.81,0,0,0,16.11,0,0,0,0,0.81,0,0,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,1.72,0,0,0.57,2.3,0,0,0,0,0,0,1.72,0,0.57,0,12.62,0,0.57,0,0,0,0,0,0,0,1.72,0,0,0.57,0,0.57
 60-70,0,0,0,0,5.89,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,19.63,0,0,0.98,0,0,0,0.98,0,0,1.96,0,0.98,2.94,0,0.98
 72-82,0,0,0,0,1.96,0.98,5.89,0,1.96,0,2.94,0,0.98,0,0,0,0.98,5.89,0,0,0,21.6,0,0,1.96,0,0,0,0,0,0,0.98,0,0,3.93,0,0.98
 84-94,0,0,0,0,5.31,0,9.56,0,2.12,0,2.12,0,1.06,0,1.06,0,0,4.25,0,0,0,6.37,0,0,0,0,0,0,0,1.06,0,2.12,1.06,0,5.31,0,2.12
 96-106,0,0,0,0,4.37,0,3.28,0,0,0,3.28,0,1.09,0,0,0,0,6.56,1.09,0,1.09,9.84,0,2.19,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,6.13,0,0,0,3.06,0,0,0.77,0.77,0,0,2.3,0,0,0.77,12.26,0,1.53,0,0,0,0,0,0,0,0.77,1.53,0.77,2.3,0,0.77
120,0,0,0,0,0,0,9.8,0,3.92,0,7.84,0,0,0,0,3.92,0,1.96,0,0,0,21.56,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0
