stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,5165.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,226.8,3285.48,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,134.85,12.26,0,0,67.43,0,91.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,34.17,0,0,0,28.92,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,554.66,13.14,0,0,134.06,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,15.73,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,4,0,1,0,0,2,1,0,117,0,1,1,0,0,18,0,0
 24-34,0,0,0.82,0,18.06,4.1,0,4.1,0,0.82,0,0.82,5.75,0,7.39,14.78,0.82,5.75,0,0.82,50.07,0,0,31.19,25.45,0,0,0.82,0,0,0.82,0,0,96.86,0,1.64,7.39,0,0,183.87,0,0
 36-46,0,0,0.81,0,16.11,0.81,0,7.25,0,1.61,0.81,1.61,7.25,0,7.25,35.45,0,23.36,0,0,74.93,0.81,1.61,59.62,27.39,0.81,0,0,0,0,1.61,0.81,0.81,63.65,0,0.81,10.47,0,0,179.66,0,1.61
 48-58,0,0.57,1.72,0,14.35,2.3,0,10.33,0,0.57,7.46,1.72,9.18,0,23.53,56.23,0,37.87,0,1.72,166.4,0.57,2.87,52.79,34.43,0.57,0.57,0,0,0,1.15,0,0,45.9,0,0,9.18,0,1.72,203.7,0.57,1.15
 60-70,0,0,1.96,0,23.56,0.98,0.98,6.87,0,1.96,9.82,4.91,47.11,0,21.59,53.98,0,68.71,0.98,2.94,286.6,0,4.91,30.43,35.33,0,0,0,0,2.94,0,0,0,49.08,0,0,4.91,0,4.91,194.34,0.98,0.98
 72-82,0,0,21.6,0,24.54,3.93,38.28,55.95,0,2.94,20.61,18.65,135.47,0,53.01,115.84,0,73.62,1.96,4.91,622.37,0,19.63,41.23,122.71,0,0.98,4.91,0,5.89,5.89,0,0,81.48,1.96,0,8.83,2.94,9.82,367.14,7.85,2.94
 84-94,0,0,18.05,1.06,37.17,1.06,87.09,55.23,0,3.19,14.87,11.68,268.7,0,29.74,142.31,2.12,128.51,4.25,3.19,444.99,0,36.11,28.68,79.65,0,2.12,2.12,0,7.43,8.5,0,0,201.79,1.06,0,11.68,5.31,21.24,374.9,1.06,2.12
 96-106,0,0,29.51,1.09,57.92,18.58,64.48,80.87,2.19,6.56,20.76,21.86,262.28,0,74.31,225.13,5.46,124.58,8.74,8.74,598.88,1.09,36.06,40.44,135.51,3.28,3.28,3.28,0,15.3,26.23,0,0,196.71,0,0,3.28,7.65,13.11,498.34,12.02,2.19
108-118,0.77,0,13.79,0,52.09,6.13,55.92,32.94,0,7.66,19.92,15.32,227.49,0,36.77,187.66,2.3,166.98,9.19,3.83,667.15,1.53,22.98,32.17,90.38,0,1.53,1.53,0,19.15,6.89,1.53,0,185.36,0,0,10.72,11.49,9.96,401.36,8.43,3.06
120,0,0,11.76,0,21.56,11.76,19.6,27.44,0,3.92,1.96,21.56,117.59,0,43.12,213.62,0,111.71,3.92,7.84,435.07,0,33.32,19.6,47.03,1.96,3.92,0,0,25.48,15.68,0,0,109.75,0,0,11.76,1.96,11.76,421.35,1.96,0
