stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,mucous,neural,olfactory,otic,somites,spinal_cord,vascular_smooth_muscle
 14-21,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,0,0,0.82,0,3.28,1.64,0,0,3.28,0
 36-46,0.81,0,0,0,0.81,0.81,0,0,0,25.78,1.61,0,0,4.03,0
 48-58,0.57,0,0,1.15,0,0,0,0,0,39.02,0.57,0,0,4.02,0
 60-70,0,0,0,11.78,0,2.94,0,0,0.98,89.32,0,0,0,4.91,0
 72-82,0,0,0,14.72,0,3.93,0,0,0,57.92,0.98,0,0,1.96,0
 84-94,1.06,1.06,0,9.56,0,0,0,2.12,0,26.55,0,1.06,0,4.25,0
 96-106,0,0,1.09,13.11,0,3.28,0,0,0,29.51,1.09,1.09,0,2.19,0
108-118,0,0.77,0,8.43,0,1.53,0.77,2.3,0,22.98,0.77,1.53,0,0,0.77
120,0,1.96,0,5.88,0,0,1.96,0,0,37.24,1.96,0,0,1.96,0
