stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,0,1,2,0,0,0
 24-34,13.95,1.64,0.82,0,0.82,0,0,1.64,1.64,0,0,0.82,0.82,0.82,0,0,5.75,0,0,7.39,32.01,0.82,0,0.82,0,0,0,0,1.64,3.28,0,0.82,0
 36-46,6.45,0.81,0,0,3.22,0,0,1.61,0,0,0,0,0,0,0,0,5.64,0,0,1.61,24.17,0,0,0,0,0.81,0,0,0,4.83,0,0.81,0
 48-58,5.16,0,0,0,15.49,0.57,1.15,1.72,0,0,0,0,1.15,0.57,0,0,12.05,0.57,0.57,0.57,33.28,0,0,0,0,2.3,0,0,0,4.02,0,0,0.57
 60-70,1.96,0.98,0.98,0,7.85,0.98,1.96,2.94,0.98,0,0.98,0,0,0,0,0,20.61,0.98,0,0.98,48.09,0,0,0,0,0,0,0.98,0,3.93,0,1.96,0
 72-82,10.8,2.94,0.98,0.98,23.56,0,0,2.94,0,0.98,0.98,0,0,0,0,0,19.63,0,0.98,3.93,48.1,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 84-94,11.68,1.06,3.19,0,6.37,0,1.06,2.12,5.31,0,0,0,0,0,0,0,12.74,0,0,5.31,8.5,0,0,1.06,0,1.06,0,0,0,0,1.06,1.06,1.06
 96-106,3.28,3.28,3.28,2.19,5.46,0,0,5.46,0,0,0,0,0,1.09,0,0,10.93,0,1.09,1.09,12.02,0,1.09,1.09,0,7.65,0,1.09,0,1.09,2.19,2.19,1.09
108-118,6.13,1.53,0.77,1.53,4.6,0,0.77,2.3,0.77,0,0.77,0,0,0.77,0.77,0.77,9.19,0,0,1.53,12.26,0,0,0,0,0.77,0,0,0,0,0.77,0,0
120,7.84,5.88,0,0,15.68,0,0,5.88,0,0,1.96,0,0,0,1.96,0,11.76,0,0,3.92,25.48,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0
