stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,56,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,0,0,29,0,0
 24-34,0,0,0.82,0,9.85,0,0,0,0,0,4.93,0,0,0,0,0,0.82,0.82,39.4,1.64,0,0,0,0,0,4.93,0,0,146.11,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,6.45,0,0,0,0,0,0,0,99.9,0.81,0,0,0,0,0,4.03,0,0,126.49,0,0
 48-58,0,0,0,1.15,1.15,0,4.59,0,2.87,0,12.05,0,0,0,0,0,0,0,130.83,1.15,0,0,0,0,0,6.31,0,0,102.14,0,0.57
 60-70,0,0,0,0,0,0,3.93,0,7.85,0,7.85,0,0.98,0,0,0,4.91,2.94,250.29,1.96,0.98,1.96,0,0,0,5.89,0,0.98,95.21,0,0
 72-82,0,1.96,0,1.96,0.98,0,15.71,1.96,44.17,0.98,22.58,0,0.98,0,0,0,12.76,0,327.88,2.94,0.98,0.98,0,0,0,2.94,0.98,0,180.63,0.98,0.98
 84-94,0,1.06,0,1.06,0,0,16.99,0,21.24,2.12,10.62,1.06,0,1.06,0,0,4.25,1.06,156.12,1.06,0,0,0,0,0,1.06,0,1.06,157.18,0,0
 96-106,0,0,0,1.09,5.46,0,14.21,1.09,41.53,0,22.95,0,0,0,2.19,0,13.11,0,128.96,2.19,0,0,0,0,0,2.19,0,1.09,181.41,0,0
108-118,0,0,0,0.77,0,0.77,8.43,1.53,23.74,0.77,8.43,2.3,0,0,0,0.77,6.89,0,150.89,3.06,0,0,0,1.53,0,0,0.77,0,149.36,0,0
120,0,0,0,5.88,1.96,0,13.72,0,25.48,0,7.84,1.96,0,0,0,0,9.8,0,203.82,0,0,1.96,0,0,0,3.92,0,0,115.63,0,0
