stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,16,0,0,8,5,0,0,0,0,0,0,0,3,2,0,0,1,0,0
 24-34,0,0.82,5.75,1.64,0,1.64,0,0.82,1.64,1.64,0,4.1,26.27,0,0,0.82,0,0,41.04,0,4.1,32.01,11.49,3.28,0.82,0.82,0,0,1.64,0,0,1.64,0,0,6.57,0,0
 36-46,0,0,8.06,0.81,0,0.81,0,0,0.81,2.42,0,3.22,20.95,0,0,0.81,0,0,89.43,0,10.47,30.62,15.31,4.83,0,0,0,1.61,0,0,0,4.03,0,0,5.64,0,0
 48-58,0,0,8.03,2.87,0,3.44,0,0.57,22.38,2.3,0,10.9,57.95,0,0.57,1.15,0,0.57,132.55,0.57,30.41,40.17,22.95,6.89,0,0.57,0,4.02,0,0.57,0,5.74,0,2.3,12.62,0.57,1.15
 60-70,0,0,10.8,1.96,0,6.87,0,2.94,25.52,2.94,3.93,6.87,53.98,0.98,0,0.98,1.96,0,185.51,0,42.21,38.28,27.48,3.93,0,0.98,0,10.8,0.98,0,0,0.98,0,17.67,14.72,9.82,3.93
 72-82,0.98,0,9.82,15.71,0,31.41,0.98,3.93,53.99,5.89,7.85,22.58,91.29,0,0,0.98,0.98,0,307.26,1.96,48.1,60.86,47.12,0.98,0,1.96,0,11.78,1.96,0,0,3.93,0.98,25.52,16.69,42.21,0
 84-94,0,0,7.43,11.68,0,20.18,0,1.06,41.42,8.5,5.31,13.81,116.82,1.06,5.31,2.12,1.06,1.06,226.21,0,47.79,31.86,32.92,0,0,2.12,0,8.5,1.06,2.12,0,3.19,1.06,25.49,8.5,38.23,1.06
 96-106,0,0,17.49,12.02,3.28,42.62,1.09,4.37,56.83,22.95,17.49,44.81,218.57,1.09,2.19,2.19,5.46,0,497.25,1.09,69.94,66.66,84.15,7.65,1.09,1.09,0,37.16,9.84,5.46,0,1.09,0,25.14,46.99,66.66,3.28
108-118,0,0,8.43,3.83,2.3,18.38,0.77,2.3,50.55,6.89,11.49,17.62,122.55,3.06,0.77,0.77,2.3,0,353.87,0,46.72,57.45,62.81,4.6,0,3.06,0,39.06,0.77,0,0,1.53,0,8.43,20.68,29.87,3.06
120,1.96,0,21.56,15.68,0,31.36,1.96,3.92,68.59,5.88,23.52,25.48,266.53,1.96,5.88,7.84,9.8,0,540.9,0,56.83,70.55,80.35,9.8,0,1.96,1.96,60.75,3.92,1.96,0,1.96,1.96,27.44,56.83,56.83,3.92
