stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,2.46,0,0,0,0,0,0,0,0,4.93,0,0,0,8.21,0.82,3.28,0.82,0.82,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0,0,7.25,1.61,5.64,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,1.72,0,0,1.72,0,0,0.57,9.75,0,0,0,23.53,5.74,8.61,2.87,1.15,0,0.57,0,0,0,0,1.15,1.15,0,0
 60-70,0.98,0,1.96,0,0,2.94,0,0.98,0.98,18.65,0,0,0,37.3,14.72,7.85,3.93,0,0,3.93,0,0,0,2.94,4.91,0.98,1.96,0
 72-82,0,4.91,11.78,1.96,0,12.76,0,0.98,8.83,44.17,0,1.96,0.98,107,21.6,18.65,7.85,0,0.98,4.91,0,0,0,0.98,18.65,4.91,25.52,0
 84-94,3.19,3.19,2.12,1.06,0,10.62,1.06,0,4.25,48.85,0,0,0,32.92,27.61,3.19,5.31,0,0,6.37,0,1.06,0,0,11.68,1.06,27.61,0
 96-106,6.56,1.09,1.09,1.09,0,6.56,1.09,5.46,8.74,80.87,2.19,1.09,0,108.19,28.41,14.21,17.49,0,0,15.3,1.09,0,0,0,8.74,4.37,28.41,1.09
108-118,3.83,1.53,3.83,0,0,8.43,0,5.36,3.06,51.32,1.53,0,0,71.23,16.85,9.19,9.96,0,0,11.49,0,0,0,0,3.06,4.6,22.98,0
120,0,5.88,7.84,0,1.96,3.92,1.96,7.84,5.88,66.63,0,0,0,78.39,7.84,9.8,17.64,0,0,17.64,1.96,0,1.96,1.96,9.8,3.92,27.44,0
