stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.35,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,38,0,0,0,0,0,0,0,1,0,0,120,1,0,0,3,14,0,1,9,4,0,4,0,0,4,1,0,0,10,8,0,0,0,0,0
 24-34,0,0.82,7.39,0,0.82,0,0.82,0,1.64,0,0,1.64,0,157.6,1.64,0,0,0.82,27.91,0,0,19.7,1.64,0.82,0,0,0,0,0,0,1.64,0,4.93,0,0,0.82,0,0
 36-46,0,0,7.25,0,4.03,0,2.42,0,0,0,0,4.03,0,59.62,4.03,0,0,0.81,17.72,0,0,26.59,0.81,0,0,0,0,0.81,0,0,4.83,0,2.42,0,0,0,0,0
 48-58,0,0,5.74,0,3.44,0,0,0,1.72,0,0,2.87,0,24.67,3.44,0,0,3.44,9.75,0,0,32.71,0,0.57,1.72,0,0,0,0,0,1.72,0,4.59,0,0,0,0,0
 60-70,0,0,12.76,0,11.78,1.96,0,0,13.74,0.98,0,0,0.98,36.32,1.96,0.98,0,4.91,7.85,1.96,0,40.24,0,1.96,1.96,0,0,0.98,0,0,0,0,1.96,0.98,6.87,0,1.96,0
 72-82,0,0,8.83,1.96,32.39,2.94,0,0,38.28,4.91,0,1.96,0,78.53,1.96,0,0,15.71,6.87,4.91,0,75.59,0,0,5.89,0.98,0.98,0.98,0,0,0,0,2.94,5.89,24.54,1.96,10.8,0.98
 84-94,0,0,20.18,2.12,26.55,5.31,4.25,0,24.43,10.62,0,1.06,0,143.38,5.31,3.19,0,12.74,12.74,2.12,1.06,25.49,0,5.31,2.12,0,5.31,1.06,0,0,0,0,3.19,9.56,31.86,0,19.12,0
 96-106,1.09,0,52.46,3.28,41.53,7.65,2.19,2.19,52.46,19.67,0,0,1.09,180.32,3.28,4.37,0,48.09,14.21,5.46,1.09,37.16,1.09,4.37,15.3,0,8.74,4.37,0,0,0,0,2.19,14.21,29.51,1.09,34.97,0
108-118,0,0,62.81,0.77,42.13,6.89,0.77,1.53,44.43,36.77,0,0.77,0,156.26,6.89,3.83,1.53,41.36,13.79,9.19,1.53,36,0.77,3.83,6.13,0,9.19,3.83,0,0,0,0,3.06,18.38,39.83,0.77,23.74,0
120,0,0,45.08,0,17.64,5.88,1.96,0,35.28,21.56,0,0,0,74.47,13.72,1.96,1.96,50.95,5.88,17.64,1.96,33.32,0,1.96,7.84,0,7.84,0,0,1.96,0,0,1.96,13.72,33.32,3.92,35.28,0
