stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,63.09,2.63,70.98,0,2.63,0,0,0
 10-12,15.73,18.88,0,12.59,0,3.15,0,0,324.14,0,107,3.15,0,18.88,6.29,0
 14-21,0,0,2,0,1,0,0,2,13,0,0,0,0,1,1,2
 24-34,0,0,0,0.82,0.82,0,3.28,0.82,16.42,0,0,0,0,0,0,9.03
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,4.03
 72-82,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
