stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0
 24-34,0,0.82,0,0,0,0.82,0,0.82,0.82,0,0.82,1.64,0,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0.81,0,0,8.86,0,0,0,3.22,0,0
 48-58,0,0.57,1.15,0,0,0.57,0,0,1.15,0,0,5.74,0,0,0,2.87,0,0.57
 60-70,0,0.98,3.93,0,1.96,0.98,0,0,0,0,0,10.8,0.98,0.98,0,0.98,0,0
 72-82,0,0,1.96,0,0.98,0.98,0,0,2.94,0,0.98,7.85,0.98,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,0,2.12,1.06,0,2.12,1.06,0,2.12,0,0,1.06,1.06,0,0
 96-106,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0.77,2.3,0,0.77,0.77,0,0,2.3,0,0,2.3,0,0,0,0.77,0,0
120,0,0,0,0,1.96,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0
