stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,3,15,0,0,0,2,0,0,12,0,0,0,0
 24-34,0,0,4.1,0,0,2.46,0,0,3.28,0,0.82,2.46,0,0,0,0,1.64,0,4.1,0,0.82,0.82,115.74,0.82,4.1,0,9.03,0.82,0.82,36.12,0,0.82,0,0
 36-46,0,0,0.81,0,0,11.28,0,0.81,3.22,0,0,1.61,0,0,0,0,0,0,7.25,0.81,0,0.81,326.3,0,4.03,0,8.86,0,0,53.98,0,0,0,0
 48-58,0,0,2.87,0.57,0,39.02,0.57,1.72,9.75,0,0,0,0,0.57,0,0,0,0.57,6.31,0,0.57,1.72,436.67,0,0,0,4.59,0,0,77.46,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,102.08,0,3.93,9.82,0,0,0,0,0,0,0,0,0,3.93,0,1.96,0.98,544.74,1.96,2.94,0,15.7,0.98,0,57.91,0,0,0,0.98
 72-82,0,0,0.98,0,0,162.96,0,0,31.41,1.96,0,0,0,0,0,0,0,0,7.85,0,0.98,0.98,571.33,0,0.98,0,5.89,3.93,0,42.21,0.98,0.98,0,0
 84-94,0,0,3.19,0,0,86.03,0,1.06,16.99,1.06,0,1.06,0,0,0,1.06,1.06,0,12.74,0,0,0,281.44,0,4.25,0,9.56,6.37,0,5.31,0,1.06,1.06,0
 96-106,1.09,1.09,6.56,1.09,0,88.52,0,3.28,24.04,2.19,0,0,0,0,0,0,0,0,13.11,1.09,2.19,1.09,238.24,0,5.46,3.28,10.93,3.28,0,12.02,0,1.09,0,1.09
108-118,0.77,0,6.13,0,1.53,73.53,0,3.83,28.34,1.53,0,0.77,0,0,0.77,0,0,0,3.83,0,0.77,1.53,276.51,0,6.13,0,4.6,4.6,0,5.36,0,1.53,0,0
120,0,0,5.88,0,0,78.39,0,0,21.56,1.96,0,1.96,1.96,0,0,0,0,0,11.76,0,0,1.96,356.68,0,5.88,1.96,0,3.92,0,9.8,0,0,0,0
