stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,122.73,3.15,0,0,6.29,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,2,4,3,0,0,3,0,0,0,0,0,0,0,3,0,0,2,57,2,3,0,0,2,0,2,2,2,1,49,0,0,0,0
 24-34,0,0,0.82,0,2.46,0.82,4.1,0,0.82,4.93,0,0,0,0,0,0,0,2.46,0,0,0.82,217.53,0,13.13,0,0,0,0,0,0.82,0,0,88.65,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,23.36,0,0,2.42,0,0,0,0,0,0.81,0,5.64,0,0,2.42,448.76,0,11.28,0,0,0,0,0,0.81,0,0,140.99,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,90.66,0,0,6.89,0,0,0,0,0,1.15,0,5.74,0,0.57,1.15,515.85,0,8.03,0,0,0.57,0,0,0.57,0,0,100.99,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,257.16,0,0,13.74,0.98,0.98,0,0,0,0.98,0,4.91,0,0,0.98,650.75,0,2.94,2.94,0,3.93,0,0,0,0,0,117.78,0,0,0.98,0
 72-82,0,0,0.98,0,1.96,1.96,251.31,0.98,0.98,16.69,1.96,0,0.98,0,0,0,0,12.76,0,0,0,535.01,0,7.85,1.96,0,0,0,0,1.96,0,0,67.73,0,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,175.24,0,0,13.81,2.12,0,0,0,0,3.19,0,9.56,0,0,1.06,285.69,4.25,4.25,1.06,0,0,0,0,1.06,0,0,25.49,0,2.12,1.06,0
 96-106,0,0,1.09,0,5.46,0,124.58,0,0,14.21,0,0,0,0,0,3.28,1.09,3.28,1.09,1.09,1.09,181.41,4.37,10.93,4.37,0,2.19,0,0,0,0,0,19.67,0,0,2.19,0
108-118,0,0,0.77,0,3.83,0.77,94.21,0,0.77,8.43,0,0,0,0.77,0.77,3.06,0,1.53,0,0,0,222.13,2.3,3.83,1.53,0,0.77,0.77,0,0,0,0,12.26,0.77,0,0,0
120,0,0,0,0,1.96,1.96,99.95,1.96,0,11.76,0,0,0,0,0,1.96,0,5.88,1.96,0,0,282.21,0,5.88,0,0,1.96,0,0,1.96,0,0,13.72,0,0,0,0
