stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,7.89,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,6.29,0,0,72.38,0,0,3.15,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,5,5,0,0,0,26,1,0,0,1,0,0,0,0,19,0,0,10,228,2,9,10,4,0,1,1,24,10,7,139,0,0,3,0,0
 24-34,0,0,0,0.82,7.39,2.46,27.91,0,0,0.82,18.06,0,0,0,0.82,1.64,0.82,0,0.82,25.45,0,0,4.93,608.25,0.82,41.04,3.28,0,0,0,0,0,7.39,0.82,172.38,0,0,4.1,0,0.82
 36-46,0,0,0.81,0,0.81,0,76.54,0,0,0,21.75,0,0,0,0,1.61,0,0,0,25.78,0,0,3.22,749.27,0,35.45,3.22,0,0,2.42,0,0,1.61,0,190.94,0,0,0.81,0,0.81
 48-58,0,0,0.57,0.57,1.72,0.57,187.63,0,0,0.57,16.64,0,0.57,0,0,0,1.15,0,0.57,34.43,0,0,4.02,622.58,0.57,25.25,1.15,0,0.57,2.3,0.57,0,2.3,0,154.35,0,0,1.72,0,1.15
 60-70,0,0,0,0,1.96,0,280.72,0,0.98,0,22.58,0.98,0,0.98,0,0.98,0.98,0.98,0.98,39.26,0,0,1.96,570.26,0,22.58,3.93,0,0,0,0,0,0,0,104.04,0.98,0,0.98,0,0.98
 72-82,0,0,0.98,0,3.93,2.94,307.26,0,0,5.89,26.5,0.98,1.96,0.98,0,0.98,8.83,1.96,0,53.99,0.98,0.98,9.82,519.3,0,40.25,7.85,0,0.98,0.98,0,0,0,0,57.92,0,0.98,2.94,0.98,1.96
 84-94,0,0,3.19,0,10.62,0,207.1,0,0,4.25,26.55,2.12,1.06,0,1.06,3.19,4.25,0,0,52.04,1.06,0,7.43,330.29,0,42.48,15.93,0,0,0,0,0,2.12,0,38.23,2.12,2.12,3.19,0,0
 96-106,0,0,0,0,3.28,0,146.44,0,2.19,2.19,26.23,1.09,0,1.09,0,3.28,6.56,0,0,50.27,0,3.28,0,272.12,0,55.74,22.95,0,1.09,3.28,0,0,0,0,25.14,0,0,1.09,0,0
108-118,0,0,0.77,0,5.36,1.53,130.98,0,1.53,0.77,23.74,0.77,0.77,0,1.53,1.53,4.6,0,0,47.49,0,2.3,3.83,415.92,0.77,43.66,13.02,0,0,0.77,0,0,0,0,13.02,1.53,0,0,1.53,2.3
120,0,0,1.96,1.96,3.92,0,90.15,1.96,0,1.96,7.84,0,0,3.92,1.96,1.96,7.84,1.96,0,19.6,0,3.92,7.84,309.65,0,17.64,7.84,0,0,1.96,0,0,0,0,5.88,0,0,3.92,1.96,0
