stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,4.1,0.82,27.91,0.82,0,0,0,0.82,4.93,0,0,0,0.82
 36-46,0,0,0,0,4.03,0,0,0.81,0,0,0,0,0,1.61,0,21.75,0,0,0,1.61,0,4.83,0,0,0,0
 48-58,0,0,0,0,5.74,0.57,0.57,0,0.57,0,0,0,0,2.3,0,16.07,0,0,0,2.87,0,2.87,0,0.57,0,0
 60-70,0,0,0,0,17.67,0,0.98,0,4.91,0.98,0,0,0.98,5.89,0,22.58,0,0,0,1.96,0,1.96,0,1.96,0,0
 72-82,0.98,0,0.98,0,16.69,0,0,0,3.93,0,0,0,0,7.85,0.98,15.71,0,0.98,0.98,1.96,0,0.98,0,0,0.98,0.98
 84-94,0,1.06,0,0,8.5,0,0,0,2.12,2.12,0,0,0,4.25,0,4.25,0,0,0,1.06,0,1.06,1.06,1.06,0,0
 96-106,1.09,1.09,0,0,7.65,0,0,1.09,2.19,0,0,1.09,1.09,2.19,0,3.28,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0.77,0,0.77,6.13,0,0,0,4.6,0.77,0,0,0.77,3.83,0,3.06,0,0.77,0.77,0,0.77,1.53,0.77,0,0,0
120,0,1.96,0,0,5.88,0,0,0,3.92,0,0,0,0,1.96,0,7.84,0,0,0,5.88,0,0,0,0,0,0
