stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,5.26,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,31.47,0,9.44,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,0.57,0,0,0,5.16,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0.77,0,1.53,0,0,0.77,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0
