stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,40,0,0,0,0,0,0,0,1,11,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0.82,0,0,91.12,0,0.82,0,0,0,0,0,0,24.63,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,4.83,0,0,0,0,0,1.61,3.22,0,0,252.17,0.81,0.81,0,0,0.81,0,0,0,41.09,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,27.54,0,1.72,0,0,0,0,3.44,0,0.57,269.69,0,0,0.57,0,0,0,0,0,28.12,0,0.57,0,0
 60-70,0,0,0,0,0,0,85.39,0,2.94,0,0,0,0,3.93,0,0.98,458.37,0,1.96,0.98,0,0,0,0.98,0,40.24,0,0,0,0
 72-82,0,0,0,0,0,0,84.42,0,3.93,0.98,0,0,0,4.91,0.98,1.96,376.96,0,1.96,0.98,0,0,0,0,0,36.32,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,59.47,1.06,6.37,0,0,1.06,0,4.25,1.06,2.12,163.55,0,0,0,0,0,0,0,0,13.81,0,0,0,0
 96-106,0,1.09,0,0,2.19,0,60.11,0,7.65,0,1.09,0,0,5.46,0,0,133.33,0,0,0,0,1.09,0,0,0,3.28,1.09,1.09,0,0
108-118,0,0,0,1.53,0,0.77,40.6,0.77,8.43,0,0,0,0,2.3,0,0.77,160.09,0,0,0,0,1.53,0,0,0,5.36,0,0.77,0,0.77
120,0,0,0,1.96,0,0,31.36,0,5.88,0,0,0,0,7.84,1.96,0,125.43,1.96,0,0,0,0,0,0,0,13.72,0,0,0,0
