stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,taste,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,331,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,36.8,0,2.63,81.49,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,15.73,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,4.1,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0.57,0,0,0,4.02,1.15,0,6.89,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,0,0.98,0.98,0.98,0,0,1.96,0,0,8.83,0,0,0
 72-82,0,0,0,3.93,0,0.98,0,0,0,0.98,0,0.98,0,0.98,0,4.91,0,0,5.89,0,0,0
 84-94,0,0,0,8.5,1.06,0,0,0,1.06,0,0,1.06,1.06,0,0,0,1.06,0,15.93,0,0,0
 96-106,0,0,0,8.74,0,0,0,2.19,0,0,0,2.19,0,0,1.09,3.28,2.19,0,16.39,1.09,0,1.09
108-118,0,0,0,16.85,0,0,0.77,0,0.77,0,0,2.3,0,0,0,2.3,0.77,0,13.79,0,0.77,0
120,0,0,0,7.84,0,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,7.84,0,0,0
