stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0.82,19.7,0,0,0,1.64,0,2.46,0.82,10.67,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0.81,0,0.81,48.34,0,0,0,0.81,0,1.61,0,4.83,0,0
 48-58,0,0,0,0,0,0,0,4.59,1.72,0,0,3.44,0,0,0,0,0,0,1.15,1.15,0,1.15,70,0,0,0,0,0,0.57,0,5.74,0,1.15
 60-70,0,0,0,0,0.98,0,0,30.43,0.98,0,0,1.96,0,0,0,0,0.98,0,1.96,0.98,0,0.98,98.15,0,0,0,0,0,2.94,0,10.8,0.98,0
 72-82,0,0,0,0,0,0.98,0,56.94,1.96,0.98,0,3.93,0,0,0,0,0,0,1.96,2.94,0,0.98,107.98,1.96,0,0,0,0,0,0,6.87,0.98,0
 84-94,0,0,0,0,1.06,0,0,27.61,2.12,0,1.06,2.12,1.06,0,0,0,0,1.06,2.12,2.12,1.06,0,49.92,2.12,0,0,3.19,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,2.19,0,31.69,0,0,0,2.19,1.09,0,1.09,0,1.09,0,5.46,4.37,0,0,52.46,0,0,0,6.56,1.09,1.09,0,2.19,0,0
108-118,0,0,0,0,1.53,0,1.53,22.21,1.53,0,0,3.83,0.77,0.77,0,0,0,0,0.77,0.77,0.77,0.77,46.72,0,0.77,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,1.96,21.56,1.96,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,58.79,0,0,0,1.96,1.96,0,0,1.96,0,0
