stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,741.69,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,7.89,0,10.51,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,9.44,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,0,1,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,2.46,0,0,0,0.82,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,8.21,0,1.64,0,0,0,20.52,0,0,0,0.82,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,2.42,0.81,0,0,0.81,2.42,0,0,0,0,2.42,0,0,1.61,11.28,0,0.81,0,0,0,18.53,0.81,0,1.61,0,1.61,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,1.15,4.02,0.57,0,0,3.44,0.57,0,0,3.44,0.57,0,0.57,0,0.57,3.44,0,0,1.15,6.89,0,2.3,1.72,0,0,13.77,0,0,0.57,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,6.87,1.96,0,0.98,0,9.82,0,0,0.98,3.93,0.98,0,0,1.96,0,3.93,2.94,0,0.98,3.93,0,2.94,0.98,0,0,9.82,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,0,12.76,3.93,0,0.98,0.98,7.85,3.93,0,0,9.82,0.98,0.98,0.98,0,0,11.78,1.96,0,0.98,11.78,0,6.87,0.98,0,0.98,16.69,0,0,1.96,0,0,0,0,1.96,0,0
 84-94,0,0,2.12,0,3.19,14.87,4.25,0,0,0,8.5,4.25,0,0,14.87,1.06,0,1.06,1.06,0,5.31,0,1.06,0,5.31,0,1.06,4.25,0,0,48.85,0,0,1.06,0,0,0,0,3.19,1.06,0
 96-106,0,0,0,0,6.56,18.58,3.28,0,0,1.09,15.3,9.84,0,0,16.39,2.19,1.09,0,0,0,12.02,1.09,0,1.09,14.21,0,8.74,3.28,0,0,53.55,0,0,0,0,4.37,1.09,1.09,4.37,3.28,2.19
108-118,0,0,0,0.77,13.02,8.43,3.06,0,1.53,0.77,13.02,5.36,0,0,14.55,1.53,1.53,3.06,0.77,0.77,10.72,2.3,0,0,7.66,0.77,2.3,7.66,0,0.77,32.17,0,0,1.53,0,0.77,1.53,0,4.6,0.77,1.53
120,0,0,0,0,5.88,15.68,3.92,1.96,1.96,0,7.84,9.8,0,0,13.72,7.84,1.96,7.84,3.92,1.96,19.6,1.96,1.96,0,9.8,0,11.76,3.92,0,0,43.12,0,0,0,0,0,0,1.96,3.92,0,0
