stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,3,2,0,0,0,0,0,0,6,0,0,2,27,1,0,1,1,0,0,0,0,1,28,0,0,0,0,0
 24-34,0,0,4.1,0,0,0,1.64,0,0.82,4.93,2.46,0,0,0,0,0,0,0,0,0,1.64,8.21,0.82,0,0,0,0,0,1.64,0,0,14.78,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0,22.56,0,0,0.81,0,0,0,0,4.03,0,0,0.81,10.47,0,0,0,0,0,0.81,0.81,0,0,43.51,0,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,16.64,0,0,94.68,0,0,0,0,0,0.57,0,3.44,0,0,1.15,9.18,0,0,1.72,0,0,0.57,0,1.72,0,141.73,0,0,0.57,0,0.57
 60-70,0,0,0,5.89,0,0,18.65,0,0,232.62,0.98,0.98,0,0,0,0,0,16.69,0,0.98,1.96,32.39,0,0,3.93,0,0,3.93,0,2.94,0,181.58,0,0,0,0.98,0.98
 72-82,0,0.98,0.98,5.89,0.98,0,63.81,1.96,0.98,466.29,0.98,0.98,0,0,0,0.98,0,39.27,0,1.96,4.91,66.75,0,1.96,7.85,0,0.98,0.98,1.96,0.98,0,102.09,0,0.98,0.98,2.94,0.98
 84-94,0,0,0,12.74,2.12,0,54.16,0,0,396.14,1.06,1.06,0,0,1.06,0,0,19.12,1.06,1.06,1.06,28.68,0,1.06,8.5,0,0,1.06,3.19,0,0,114.7,2.12,0,0,0,2.12
 96-106,0,0,0,19.67,3.28,1.09,54.64,4.37,1.09,394.52,3.28,6.56,1.09,1.09,0,2.19,1.09,45.9,1.09,1.09,8.74,63.39,0,1.09,18.58,0,0,7.65,2.19,0,0,100.54,0,1.09,4.37,1.09,0
108-118,0,0,0,28.34,3.06,0.77,46.72,1.53,1.53,376.85,2.3,2.3,4.6,0.77,0,1.53,0,57.45,0,3.83,9.96,63.57,1.53,0.77,15.32,0,0,4.6,6.89,1.53,0,63.57,0.77,1.53,2.3,0.77,3.83
120,0,0,0,15.68,1.96,0,23.52,1.96,0,325.32,1.96,1.96,3.92,0,0,0,0,31.36,0,1.96,19.6,31.36,1.96,0,11.76,0,0,1.96,3.92,0,0,60.75,0,0,1.96,1.96,0
