stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,lateral_line,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,303.09,3254.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0
  5-6,343.26,4646.26,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,18.39,55.17,0,0,0,0
  7-9,26.29,42.06,94.63,0,0,65.72,0,0,81.49,0,0,0,993.65,21.03,0,310.19,2.63,0,0,0,0
 10-12,0,6.29,6.29,0,0,25.18,0,0,0,0,0,0,132.17,3.15,0,37.76,0,0,0,0,0
 14-21,0,0,1,5,1,3,0,0,0,0,1,1,56,0,0,2,0,1,1,6,0
 24-34,0,0,0,0.82,1.64,0,0,1.64,0,0,0,0,32.01,0.82,1.64,0,0.82,0,0.82,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,12.89,0,0,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0.57,4.02,1.15,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.85,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,7.43,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
