stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,4,3,0,8,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,128,5,0,0,2,0,0,1,2,2,9,34,0,0,6,0,0
 24-34,1.64,0.82,22.16,2.46,0,28.73,0,0,0,4.1,0.82,4.1,0.82,0,0.82,0.82,0.82,4.1,25.45,0,19.7,522.06,0.82,6.57,2.46,0,0.82,0.82,0,0.82,0,2.46,161.71,0,0,22.16,0,0
 36-46,0,0,12.09,0,0,19.34,1.61,0,0.81,33.84,0,4.83,0.81,0,0,0,0,4.83,22.56,2.42,13.7,745.24,0,3.22,2.42,0.81,0,0.81,0,0,0,0.81,171.61,0,0,21.75,0,0
 48-58,0,0,3.44,0,0,79.19,1.15,0.57,0.57,45.9,0,4.02,0,0,0,1.72,0.57,5.74,38.44,2.3,12.62,662.17,0.57,2.3,2.3,0,1.15,0.57,0,0,0,0,105.58,0,0.57,10.33,0,1.72
 60-70,0.98,0,1.96,0,0,212.01,1.96,0.98,0,43.19,0.98,1.96,0,0,0,0,0.98,0.98,57.91,3.93,6.87,934.41,0.98,1.96,1.96,0,0.98,0,0,0.98,0,0,71.65,0,1.96,4.91,0.98,0.98
 72-82,0,0,4.91,0.98,0,259.16,0.98,0,1.96,61.84,0.98,3.93,0,0,0.98,0.98,0,0.98,99.15,5.89,4.91,721.52,0,3.93,2.94,0,2.94,2.94,0,0,0,0,41.23,0.98,8.83,16.69,11.78,1.96
 84-94,0,0,10.62,3.19,1.06,187.98,2.12,0,3.19,49.92,1.06,4.25,0,3.19,2.12,1.06,0,5.31,74.34,5.31,7.43,398.26,1.06,1.06,6.37,0,2.12,3.19,0,2.12,1.06,0,26.55,0,6.37,15.93,3.19,0
 96-106,0,0,10.93,3.28,1.09,153,1.09,0,1.09,41.53,0,4.37,1.09,1.09,2.19,2.19,1.09,3.28,61.2,2.19,7.65,312.55,0,5.46,7.65,0,3.28,5.46,0,0,0,0,15.3,0,4.37,19.67,8.74,0
108-118,0,0.77,7.66,1.53,1.53,111.83,1.53,0,0,33.7,0.77,1.53,0,1.53,3.06,0,0,6.89,67.4,4.6,7.66,395.24,0.77,0.77,3.83,0,5.36,0.77,0,0,0.77,0,5.36,0.77,3.83,13.79,3.83,0
120,0,0,5.88,1.96,1.96,72.51,3.92,0,0,37.24,0,3.92,0,0,1.96,3.92,0,0,37.24,0,3.92,323.36,0,3.92,0,0,0,1.96,0,0,0,0,11.76,0,3.92,11.76,5.88,1.96
