stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,8,0,0,99,2,1,0,0,1,0,0
 24-34,0,0,1.64,0,0,10.67,59.92,0,0,0,0.82,0,0,0,0.82,0,0,0,0.82,9.03,0,0,12.31,72.24,0,1.64,0.82,0,0,13.95,0,0,137.9,3.28,7.39,0,0,0.82,0,0.82
 36-46,0,0,2.42,0.81,0,17.72,281.98,0,1.61,2.42,0,0,0.81,0,0,0,0,0,0,8.86,0.81,0,9.67,117.63,0,2.42,3.22,0,0,6.45,0,0,160.33,0.81,26.59,0,0,1.61,0,0.81
 48-58,0,0,6.89,0,0,135.99,391.91,1.15,2.3,24.1,0,0.57,0.57,0.57,0.57,0.57,1.15,0,5.16,62.54,0.57,4.02,29.26,333.95,0.57,1.15,2.3,0.57,0,12.62,0,0,161.81,0,81.48,0,0,4.02,0,7.46
 60-70,0,0,9.82,3.93,0,106,315.07,0.98,3.93,21.59,0.98,0,0,1.96,0.98,0,1.96,0.98,0,39.26,1.96,1.96,20.61,219.86,0,0.98,3.93,0.98,1.96,19.63,0,0,107.97,0,35.33,0,0,2.94,1.96,3.93
 72-82,0,0.98,14.72,16.69,0,141.36,234.62,1.96,2.94,34.36,0.98,0,0,3.93,0,2.94,2.94,5.89,0.98,79.51,0.98,3.93,28.47,232.65,0,2.94,3.93,0.98,0,7.85,0,0.98,58.9,0,14.72,0.98,1.96,11.78,1.96,6.87
 84-94,0,1.06,18.05,23.36,0,128.51,383.4,5.31,2.12,40.36,5.31,0,3.19,5.31,5.31,2.12,2.12,5.31,2.12,91.34,1.06,4.25,24.43,199.66,0,6.37,11.68,0,0,56.29,0,0,120.01,0,20.18,1.06,2.12,7.43,4.25,6.37
 96-106,0,0,41.53,44.81,3.28,229.5,667.73,13.11,13.11,60.11,3.28,0,4.37,17.49,6.56,5.46,7.65,12.02,1.09,155.18,6.56,5.46,49.18,335.5,3.28,10.93,24.04,1.09,0,79.78,0,0,125.68,0,15.3,2.19,7.65,24.04,9.84,7.65
108-118,0,0.77,27.57,10.72,3.06,139.41,524.68,5.36,3.06,35.23,4.6,0,1.53,10.72,2.3,4.6,2.3,15.32,1.53,107.23,0,0.77,60.51,265.02,3.06,3.06,14.55,0,4.6,32.94,0,2.3,105.7,0,10.72,0,3.83,13.79,1.53,3.06
120,0,0,21.56,15.68,5.88,76.43,317.49,5.88,3.92,21.56,1.96,0,0,3.92,0,0,3.92,5.88,0,54.87,0,1.96,50.95,188.14,0,0,9.8,0,0,17.64,1.96,1.96,37.24,0,3.92,0,3.92,5.88,0,0
