stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,7,3,0,5,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,0,2,17,0,0,0,1,0,1,0,4,0,0,5,0,0,6,0,0
 24-34,0,0,0,0,7.39,0.82,0,1.64,0,0,0,1.64,0,0,0.82,75.52,6.57,0,0,2.46,0,6.57,0.82,0,2.46,30.37,0,0,0,0,0,0.82,0,0.82,0,0.82,7.39,0,0,95.22,0,0
 36-46,0,0,0,0.81,3.22,0.81,0,1.61,0,0,0,2.42,4.03,0,0,89.43,0,0,0.81,4.03,0,5.64,1.61,0,2.42,41.09,0.81,0.81,0.81,0,0,0,0,0,0,0,6.45,0,0,133.74,0,0
 48-58,0,0,0,0,1.15,1.15,0,5.16,0,0,0,3.44,13.77,0,0.57,88.37,2.3,0,0,5.16,0,6.89,1.72,0,1.72,29.26,0,0.57,0,0,0,0,0,0,0,0,8.03,0,0,135.99,0,0.57
 60-70,0,0,0.98,0,1.96,0.98,0,10.8,0,0,0,3.93,52.02,0,0,93.24,0,0,0,11.78,0.98,8.83,0.98,0,0.98,25.52,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,122.69,0.98,1.96
 72-82,0,0,6.87,0.98,15.71,4.91,0,17.67,0,0.98,1.96,4.91,212.04,0,0.98,105.04,2.94,0.98,0.98,60.86,0,10.8,6.87,0.98,1.96,66.75,0,0.98,0,0,0,1.96,0,0,0.98,0,2.94,4.91,1.96,263.09,0.98,2.94
 84-94,1.06,0,6.37,1.06,27.61,7.43,0,15.93,0,0,1.06,3.19,361.09,0,0,123.2,8.5,0,0,144.44,2.12,9.56,5.31,0,2.12,29.74,0,0,0,0,0,6.37,0,0,0,0,1.06,1.06,1.06,234.71,1.06,2.12
 96-106,0,0,7.65,1.09,50.27,17.49,0,15.3,2.19,3.28,0,9.84,520.2,0,0,139.88,30.6,0,3.28,194.53,0,24.04,6.56,0,2.19,97.26,0,2.19,0,0,0,6.56,0,0,1.09,0,2.19,2.19,0,333.32,2.19,2.19
108-118,0.77,0,6.13,4.6,42.89,9.96,3.06,19.15,0,0.77,0,4.6,585.96,0,0.77,98.81,13.02,3.83,0,420.51,0,10.72,3.06,1.53,0.77,108,0,1.53,2.3,0,0.77,6.13,0,0,3.83,0,1.53,4.6,0,248.94,2.3,0.77
120,0,0,7.84,0,21.56,7.84,0,7.84,0,1.96,0,5.88,419.39,0,0,164.62,3.92,0,0,280.25,0,13.72,1.96,1.96,0,60.75,1.96,1.96,1.96,0,3.92,5.88,0,0,1.96,0,0,3.92,0,258.69,0,0
