stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,1,0,14,1,0,0,0,3,2,6,8,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,2.46,0,18.88,0,0,0,0,7.39,0,0.82,5.75,0.82,0
 36-46,0,0,0,0,2.42,0,1.61,0,0,1.61,0,8.86,0,0,0,0,3.22,0,0.81,2.42,0,0
 48-58,0,0,0,0,4.02,0,0,0,0,1.15,0,6.31,0,0,0,0,0.57,0,0,1.72,0,0.57
 60-70,0,0,0,0,9.82,0.98,2.94,0,0.98,0.98,0,2.94,0,0.98,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0.98,0,5.89,0,0.98,0.98,0,2.94,0.98,8.83,0.98,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,2.12,1.06,3.19,0,0,1.06,0,0,0,4.25,0,0,1.06,0,5.31,0,0,1.06,2.12,0
 96-106,0,0,2.19,0,0,0,2.19,1.09,0,0,0,2.19,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0.77,0,3.83,0,0,0.77,0,1.53,0,1.53,0,0.77,0,0,2.3,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0
