stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,72,0,1,1,1,0,0,0,0,0,157,0,0,0,0
 24-34,0,0,12.31,0,0,19.7,0,0,0,3.28,0,0,0,0.82,0,0,0,2.46,0,0,109.17,0,3.28,2.46,0,0,0.82,0,0,0.82,298.79,0,0,0,0
 36-46,0,0,0.81,0,0,128.1,0.81,0,0,8.86,0,0,0.81,0,0,0,0,2.42,0,3.22,156.3,0,0.81,0,0,0,0.81,0,0,0,464.07,0,0,0,0.81
 48-58,0,0.57,2.87,0,0,482.57,0,0,0,20.66,0,0,0.57,0,0,1.15,0,12.05,0.57,2.3,232.96,0,0.57,1.72,0,0,1.15,0,0.57,0,434.94,0,0.57,0,0.57
 60-70,0,0,3.93,0.98,0,1154.27,0,0.98,0,23.56,0.98,0,0,0,0,1.96,0,10.8,0.98,2.94,279.73,0,1.96,1.96,0,0.98,0,0,0,0,315.07,0,0,0.98,0.98
 72-82,2.94,0,4.91,0.98,0,1054.3,0,0.98,0.98,26.5,1.96,0.98,0,0.98,0,0.98,0.98,14.72,0.98,3.93,210.08,0,0,2.94,0,0,1.96,0,0.98,0,213.02,0,0.98,0.98,0
 84-94,1.06,0,15.93,1.06,0,757.23,0,1.06,0,36.11,0,0,0,0,4.25,1.06,0,16.99,1.06,1.06,134.88,0,1.06,1.06,0,0,3.19,0,1.06,0,116.82,1.06,2.12,1.06,2.12
 96-106,0,0,9.84,1.09,1.09,502.71,0,0,0,14.21,2.19,1.09,1.09,1.09,0,3.28,0,19.67,1.09,1.09,83.06,0,0,3.28,0,1.09,3.28,0,0,0,62.29,0,1.09,0,0
108-118,0,0,0.77,0.77,0,350.05,0,0.77,0,3.06,0,0,1.53,0,1.53,2.3,2.3,10.72,0.77,0,83.49,0,0,1.53,0,0,2.3,0.77,0,0,26.04,0,0.77,0,0
120,0,0,1.96,0,0,227.34,0,0,0,7.84,1.96,0,0,0,0,3.92,0,5.88,0,0,72.51,1.96,1.96,0,0,0,0,0,0,0,29.4,0,0,0,0
