stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,1,0,97,12,1,0,0,0
 24-34,0,0,0,2.46,0.82,0,2.46,62.39,0,1.64,0,1.64,0,0,0.82,0,0.82,2.46,0.82,0,14.78,39.4,1.64,1.64,0,2.46,0,0,9.03,96.04,41.86,12.31,0,5.75,0
 36-46,0,0,0,1.61,0,0,3.22,107.15,0,1.61,0,1.61,0,0.81,0,0,0,5.64,0,0,10.47,24.17,0.81,1.61,0,3.22,0,0,3.22,52.37,2.42,11.28,0,1.61,0
 48-58,0,0,0,0.57,0,0,12.05,83.78,0.57,1.72,0,1.15,0,0,1.15,0,0,7.46,0,0.57,7.46,39.59,0.57,1.15,0,1.15,0,0,0.57,25.82,0,14.35,0,1.15,1.15
 60-70,0,0,0,3.93,0,0,18.65,61.84,0,4.91,0.98,0,0,0,1.96,0,0,11.78,0,0,6.87,53,0,1.96,0,1.96,0,0,0,24.54,0,9.82,0,0,0
 72-82,0,0,0.98,0.98,1.96,0,16.69,44.17,0,8.83,0,0.98,0,0,0.98,0,0.98,10.8,0,0,4.91,37.3,0,2.94,0.98,0.98,0,0,0.98,9.82,0,4.91,0,4.91,0
 84-94,0,0,0,0,1.06,0,16.99,55.23,1.06,4.25,0,0,1.06,0,0,0,0,13.81,0,0,10.62,13.81,0,8.5,0,3.19,0,0,1.06,19.12,0,3.19,1.06,3.19,1.06
 96-106,0,0,0,1.09,2.19,0,10.93,60.11,1.09,5.46,1.09,0,1.09,1.09,0,1.09,0,14.21,0,1.09,8.74,25.14,0,6.56,1.09,5.46,0,0,1.09,17.49,0,1.09,0,2.19,0
108-118,0,0,0,3.83,0.77,0.77,13.02,42.13,1.53,3.06,0.77,0,0.77,0,0,0.77,0,8.43,0,0,16.09,21.45,0,6.13,0,0.77,0,0,1.53,22.21,0,0.77,0.77,2.3,1.53
120,0,0,0,3.92,0,0,9.8,33.32,0,1.96,1.96,0,0,0,0,1.96,0,7.84,0,0,1.96,23.52,0,7.84,0,0,0,0,0,5.88,0,0,0,0,0
