stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,2411.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,208.41,1256.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,7.89,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,126.18,2.63,0,0,36.8,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,3.15,0,9.44,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,213.99,12.59,0,0,50.35,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,59,0,0,3,1,0,3,0,1,2,1,1,34,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,13.95,0,0,0,5.75,0.82,0.82,0.82,0,0,0,0.82,0.82,0.82,2.46,0.82,0,0,135.44,0.82,1.64,2.46,0,0,9.03,0,0,0.82,0,0,45.97,0,0,0,0
 36-46,0,0,0,0,0,0,0,24.98,0,0,0,12.09,0,0,0,0,0,0,0.81,0,4.03,1.61,0,0,0.81,124.88,0,4.83,1.61,0,0,5.64,0,0,3.22,0,0,37.06,0,0.81,0,0
 48-58,0,0,1.15,0,0.57,0,0,29.26,0,0,0.57,9.75,0,0,0,0,0,0,1.15,0,3.44,1.15,0.57,0,0,39.02,0.57,2.3,1.72,0,0,2.3,0,0,0.57,0,0,10.9,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,0,53.98,0,0.98,0,14.72,0.98,0,0,0,0,0,0,0.98,1.96,2.94,0,0,0,49.08,0,2.94,0.98,0,0,6.87,0,0,0,0,0,14.72,0,1.96,0,0
 72-82,0,0,0,0,1.96,0,0.98,30.43,0.98,0,0,15.71,0.98,0,0,0,0,0,1.96,0,0,3.93,1.96,0.98,0,41.23,0,4.91,0.98,0,0,3.93,0,0,0,0,0,7.85,0,1.96,0,0
 84-94,0,0,0,0,2.12,0,1.06,24.43,0,0,0,8.5,2.12,0,0,0,0,0,0,0,1.06,6.37,1.06,1.06,0,20.18,0,2.12,2.12,0,0,21.24,0,0,0,0,0,4.25,1.06,0,0,0
 96-106,0,0,0,0,6.56,0,1.09,14.21,0,0,0,15.3,2.19,0,0,0,0,1.09,2.19,0,0,0,0,0,0,24.04,0,7.65,7.65,0,1.09,12.02,0,0,1.09,0,0,0,3.28,0,1.09,1.09
108-118,0,0,0.77,0,3.83,0,0.77,9.19,0,1.53,0,8.43,1.53,0,0.77,0.77,2.3,0,0.77,0,1.53,0.77,0,0,0,26.81,0.77,0.77,3.06,0,0,13.02,0,0,0.77,0,0,2.3,1.53,0.77,0.77,0
120,0,0,0,0,7.84,0,1.96,9.8,0,3.92,1.96,9.8,9.8,0,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,19.6,0,1.96,0,0,0,23.52,0,0,0,0,0,1.96,0,0,1.96,0
