stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,5,6,0,1,0,0,1,6,4,60,1,0,1,0,11,9,19,0,0,0
 24-34,0,0,0.82,0,0,0.82,0.82,0,0,0.82,0,17.24,0,0,0,0.82,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,44.31,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,4.59,0.57,1.72,0,0.57,0,0.57,0,30.41,0,0.57,0,0,0,0,5.74,0,0,0
 60-70,0,0,0,5.89,0,0,0,0,0,0.98,0,31.41,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,3.93,0,0,0,0,0,0,0,15.71,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,10.62,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,1.09,2.19,0,0,0,0,0,1.09,0,9.84,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,5.36,0.77,0.77,0,0,0,2.3,0,7.66,0,0,0,0.77,0,0,1.53,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96
